name,zero_shot,real,question,path
respiratory symptoms in hiv-infected patients,B,D,"A 35-year-old HIV-positive man with a CD4 count of 40 cells/mm3 presents to the emergency department with a subacute onset of fever, dyspnea, and headache. A chest X-ray reveals focal infiltrates. Given his presentation and level of immunosuppression, which of the following is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Advanced immunosuppression (CD4 count 40) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis
respiratory symptoms in hiv-infected patients,B,E,"A 35-year-old HIV-positive man with a CD4 count of 150 cells/mm³ presents with a subacute onset of dyspnea and a non-productive cough. A chest X-ray reveals focal infiltrates. Given his presentation, which of the following is the most likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Advanced immunosuppression (CD4 150) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis (TB)
respiratory symptoms in hiv-infected patients,B,C,"A 45-year-old HIV-positive patient with a CD4 count of 400 cells/ml presents with subacute onset of fever, dyspnea, and a non-productive cough. A chest X-ray reveals diffuse interstitial infiltrates. Given the patient's presentation and immune status, which of the following opportunistic infections is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> HIV+ with CD4 count >350 -> CXR abnormal (diffuse infiltrates) -> Subacute presentation -> Community-acquired bacterial pneumonia
respiratory symptoms in hiv-infected patients,E,B,"A 35-year-old HIV-infected male presents with a subacute onset of fever, dyspnea, and a non-productive cough. His CD4 count is unknown, but he has a history of thrush. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Likely advanced immunosuppression (history of thrush) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis (TB)
respiratory symptoms in hiv-infected patients,E,A,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents to the emergency department with a 3-day history of fever, cough, and shortness of breath. A chest X-ray reveals diffuse infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Abnormal -> Diffuse infiltrates -> Acute presentation (<5 days) -> Viral pneumonia"
respiratory symptoms in hiv-infected patients,B,D,"A 35-year-old HIV-positive male presents to the emergency department with a cough, fever, and shortness of breath that started 3 days ago. His CD4 count is unknown, but he reports a history of thrush and recent weight loss. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> Advanced immunosuppression (history of thrush, weight loss) -> CXR -> Abnormal (focal infiltrates) -> Acute presentation (<5 days) -> Bacterial pneumonia"
respiratory symptoms in hiv-infected patients,A,E,A 35-year-old HIV-positive man presents to the emergency department with a cough and shortness of breath for 3 days. His CD4 count is unknown. A chest X-ray reveals diffuse infiltrates. What is the most likely next step in management?,HIV-Infected Patient with RESPIRATORY COMPLAINTS -> (No TB red flags) -> Advanced immunosuppression assessment -> CXR -> Abnormal (diffuse infiltrates) -> Acute presentation (<5 days) -> Atypical pneumonia
respiratory symptoms in hiv-infected patients,A,E,"A 35-year-old HIV-positive patient with a CD4 count of 60 cells/mm³ presents to the emergency department with a 3-day history of fever, cough, and shortness of breath. A chest X-ray reveals focal infiltrates in the right lower lobe. The patient reports no history of TB exposure or recent travel. What is the most appropriate next step in management?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> Advanced immunosuppression (CD4 count, clinical features) -> CXR -> Abnormal (focal infiltrates) -> Acute presentation (<5 days) -> Community-acquired bacterial pneumonia"
respiratory symptoms in hiv-infected patients,A,C,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents to the emergency department with a 3-day history of fever, cough, and increasing shortness of breath. Chest X-ray reveals diffuse bilateral infiltrates. Given his acute presentation, what is the MOST likely underlying condition?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> HIV+ with CD4 count >350 -> CXR -> Abnormal (diffuse bilateral infiltrates) -> Acute presentation (<5 days) -> Community-acquired bacterial pneumonia
respiratory symptoms in hiv-infected patients,E,D,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a cough and shortness of breath for 3 days. A chest X-ray reveals diffuse infiltrates. Given the acute presentation, which of the following is the most likely causative organism?",HIV-positive with CD4 >350 -> Acute respiratory symptoms -> Diffuse infiltrates on CXR -> CAP pattern similar to immunocompetent hosts -> Legionella pneumophila
respiratory symptoms in hiv-infected patients,A,B,"A 35-year-old HIV-infected male presents to the emergency department with a fever and productive cough for 3 days. He reports a history of injection drug use but is unsure of his CD4 count and is not on prophylaxis. His chest X-ray shows diffuse infiltrates. Given this presentation, which of the following is the most likely causative agent?",HIV-infected with uncertain immune status + history of injection drug use -> Productive cough with diffuse infiltrates -> Most consistent with bacterial CAP -> Streptococcus pneumoniae
respiratory symptoms in hiv-infected patients,C,B,"A 45-year-old HIV-positive patient presents with a cough and fever for 3 days. His CD4 count is unknown, but he reports recent weight loss and oral thrush. A chest X-ray reveals focal infiltrates. Given the acute presentation, what is the most likely diagnosis?",HIV-positive with signs of immunosuppression but with focal infiltrates -> More consistent with bacterial CAP rather than opportunistic pneumonia -> Streptococcus pneumoniae pneumonia
respiratory symptoms in hiv-infected patients,C,B,"A 35-year-old HIV-positive patient with a CD4 count of 60 cells/mm³ presents to the emergency department with a high fever, cough, and shortness of breath that started abruptly 3 days ago. A chest X-ray reveals focal infiltrates in the right upper lobe. The patient is an IV drug user. What is the most likely next step in management?",HIV-positive with advanced immunosuppression + IV drug use -> Focal infiltrate on CXR -> Suspicion for septic emboli -> Initiate broad-spectrum antibiotics
respiratory symptoms in hiv-infected patients,"The correct answer is **D**. Here's why:* **Patient Profile:** The patient is HIV-positive with a low CD4 count (150 cells/mm³), placing him at high risk for opportunistic infections like PCP. * **Symptoms:** Subacute fever, dyspnea, and non-productive cough are classic symptoms of PCP.* **Chest X-ray:** Diffuse interstitial infiltrates on chest X-ray strongly suggest PCP.**While other options might be considered later in the evaluation, starting empiric treatment for PCP is the most crucial next step given the patient's risk factors and",A,"A 32-year-old HIV-positive man with a CD4 count of 150 cells/mm³ presents with a subacute onset of fever, dyspnea, and a non-productive cough. A chest X-ray reveals diffuse interstitial infiltrates. Given the patient's presentation and risk factors, what is the MOST likely next step in evaluating the etiology of his respiratory complaints, assuming TB risk factors and adherence to routine infection-control practices?",HIV-positive with CD4 150 -> Diffuse interstitial infiltrates -> First evaluation step: assess gas exchange to gauge severity
respiratory symptoms in hiv-infected patients,C,A,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/ml presents with a subacute onset of fever, dyspnea, and a nonproductive cough. A chest X-ray reveals diffuse infiltrates. What is the most likely diagnosis?",HIV-positive with CD4 400 -> Diffuse infiltrates and subacute symptoms -> Likely typical pneumonia seen in the general population
respiratory symptoms in hiv-infected patients,B,E,"A 35-year-old HIV-positive patient with a CD4 count of 60 cells/mm³ presents with a subacute onset of fever, dyspnea and a productive cough. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?",HIV-positive with CD4 60 -> Focal infiltrates + productive cough -> High suspicion for TB in advanced immunosuppression
respiratory symptoms in hiv-infected patients,B,A,"A 45-year-old HIV-positive patient presents with subacute onset of fever, dyspnea, and a cough. His CD4 count is unknown, but he reports a history of thrush and weight loss. A chest X-ray reveals focal infiltrates. Given the clinical presentation and radiographic findings, which of the following opportunistic infections is the MOST likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> Advanced immunosuppression (CD4 count/percent, clinical features, history) -> CXR shows focal infiltrates -> Subacute presentation -> Rhodococcus"
respiratory symptoms in hiv-infected patients,B,E,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of fever, dyspnea, and a cough. A chest X-ray reveals diffuse infiltrates. Given his HIV status and respiratory symptoms, what is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 >350 -> CXR shows diffuse infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,"The correct answer is **(B) Tuberculosis (TB)**. Here's why:* **CD4 Count:** While a CD4 count of 400 cells/mL is not severely immunosuppressed, it's still below the healthy range. This makes opportunistic infections more likely.* **Subacute Onset:**Tuberculosis often presents with a gradual onset of symptoms like fever, cough, and shortness of breath.* **Focal Infiltrates:** Chest X-rays showing focal infiltrates are consistent with TB.**Important Note:** While PCP is a common opportunistic infection in HIV patients,",A,"A 45-year-old HIV-positive male with a CD4 count of 400 cells/mL presents with a subacute onset of fever, cough, and shortness of breath. A chest X-ray reveals focal infiltrates. Given his presentation and immune status, which of the following opportunistic infections is most likely?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 >350 -> CXR shows focal infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,A,E,"A 45-year-old HIV-positive man with a history of thrush and recent weight loss presents with a subacute onset of fever, cough, and shortness of breath. His CD4 count is unknown and a chest X-ray reveals focal infiltrates. What is the most likely diagnosis to consider in this patient?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> History of thrush and weight loss -> CXR shows focal infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,B,D,"A 45-year-old HIV-positive man with a history of thrush presents with subacute onset of fever, cough, and shortness of breath. His CD4 count is unknown and a chest X-ray reveals focal infiltrates. Which of the following is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> History of thrush -> CXR shows focal infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,B,E,A 35-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of dyspnea and diffuse infiltrates on chest X-ray. Which of the following is the most likely diagnosis?,HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 400 -> Diffuse infiltrates -> Subacute presentation -> Kaposi's sarcoma
respiratory symptoms in hiv-infected patients,D,C,"A 35-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of fever, dyspnea, and focal infiltrates on chest X-ray. Considering his HIV status and respiratory symptoms, which of the following conditions should be highly suspected?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 400 -> Focal infiltrates -> Subacute presentation -> Kaposi's sarcoma
respiratory symptoms in hiv-infected patients,D,B,"A 35-year-old HIV-positive male presents to the clinic with a subacute onset of fever, dyspnea, and a non-productive cough. His CD4 count is unknown, but he reports a history of thrush and recent weight loss. A chest X-ray reveals bilateral nodular infiltrates with a perihilar distribution. What is the most likely diagnosis to consider in this patient?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices -> Advanced immunosuppression (CD4 count/clinical history) -> CXR shows nodular infiltrates -> Subacute presentation -> KS"
respiratory symptoms in hiv-infected patients,D,B,"A 35-year-old HIV-positive man with a CD4 count of 60 cells/mm³ presents with a subacute onset of fever, dyspnea, and a non-productive cough. Chest X-ray reveals bilateral nodular infiltrates. Given his HIV status and presentation, which condition should be highly suspected?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 60 -> Nodular infiltrates on CXR -> Subacute presentation -> KS
respiratory symptoms in hiv-infected patients,C,A,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of fever, dyspnea, and a nonproductive cough. A chest X-ray reveals multiple nodular opacities with mediastinal lymphadenopathy. What is the most likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 >350 -> CXR shows nodular opacities with lymphadenopathy -> Subacute presentation -> NHL
respiratory symptoms in hiv-infected patients,C,A,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of fever, dyspnea and focal nodular opacities on chest X-ray. What is the most likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 >350 -> CXR shows focal nodular opacities -> Subacute presentation -> NHL
claudication,E,A,"A 45-year-old HIV-positive patient with a CD4 count of 60 cells/mm³ presents with subacute fever, dyspnea, and a chest X-ray revealing focal infiltrates. Which condition should be highly suspected in this patient?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 60 -> CXR shows focal infiltrates -> Subacute presentation -> PCP
the red eye,C,D,A 30-year-old patient presents with a red eye. The patient reports superficial pain and normal vision. Examination reveals diffuse redness throughout the eye with normal eyelids and a conjunctival lesion; there is no discharge. What is the most likely diagnosis?,"Acute red eye with watery discharge, normal eyelids, and absence of itching is more consistent with viral conjunctivitis"
the red eye,"**E** Here's why:* **Anterior uveitis (iritis)** is characterized by localized redness, pain, and often a conjunctival lesion.Superficial pain without vision loss aligns with this condition.Let's look at why the other options are less likely:* **Corneal ulcer:** Would typically cause more severe pain, foreign body sensation, and potentially blurred vision.* **Scleritis:** Presents with deeper, more diffuse pain and often systemic symptoms.* **Acute angle-closure glaucoma:**Causes sudden, severe pain, nausea, vomiting, and blurred vision.",D,"A 30-year-old man presents to the emergency department with a red, painful eye. He reports superficial pain and no vision loss. Examination reveals localized redness and a conjunctival lesion. What is the most likely underlying cause?","Examination of localized redness with conjunctival lesion and superficial pain, in the absence of vision loss → Findings more consistent with orbital cellulitis or congestion, assuming additional signs of inflammation are present (modified stem if needed)"
edema,C,A,A 58-year-old woman presents with unilateral lower extremity edema. Her history is unremarkable and initial Doppler studies are negative. What is the most likely next step in evaluating the cause of her edema?,"With negative Doppler studies, if clinical suspicion for a non-vascular cause exists, further evaluation for musculoskeletal etiology is warranted."
use and evaluation of vancomycin serum drug level,C,A,"A 28-year-old woman requests oral contraceptives for birth control. She has no significant past medical history and is a non-smoker. After discussing the risks and benefits and ruling out contraindications, which of the following is the most appropriate next step in managing her contraceptive needs?","Counsel patient -> Evaluate medical history and contraindications -> For a healthy young woman, combined OC is first-line -> Schedule follow-up in 3 months for side effect review and BP check"
secondary amenorrhea,B,A,"A 28-year-old woman with a history of regular menses presents to your office reporting absence of menses for the past 7 months. She is not pregnant. After withdrawal bleeding from an Estrogen and Progestin Challenge, her LH and FSH levels are found to be within the normal range. An MRI of the head comes back normal. A progestin challenge test is performed, and no withdrawal bleeding occurs. Following this, an estrogen and progestin challenge test is administered, resulting in withdrawal bleeding. What is the most likely diagnosis, and what further investigations should be considered?","Secondary amenorrhea evaluation -> Negative progestin challenge with positive estrogen–progestin challenge indicates anovulatory cycles -> Further evaluation should target causes of anovulation, such as PCOS, via endocrine workup."
weakness,"**E** Here's why:* **The key features are:*** Progressive weakness* Atrophy and fasciculations (indicating lower motor neuron involvement)* Diminished reflexes* No sensory deficits* **These findings strongly suggest a problem at the neuromuscular junction (NMJ), where nerves communicate with muscles.** Let's look at why the other options are less likely:* **A. Upper motor neuron lesion:** Would typically present with spasticity, increased reflexes, and weakness that affects both sides of the body.* **B. Spinal cord compression:**",D,"A 58-year-old male presents with progressive weakness in his right arm over the past 6 months. On examination, the patient exhibits atrophy and fasciculations in the affected arm, with diminished reflexes but no sensory deficits. What is the most likely underlying cause of the patient's weakness?","Chronic progressive LMN signs (atrophy, fasciculations) without sensory involvement are characteristic of ALS."
