question,answer,options,correct_option,path,condition
"A 58-year-old man with a history of obesity and sedentary lifestyle presents to the clinic. He reports increased thirst, frequent urination, and blurred vision for the past few months. A random blood glucose test in the office shows a level of 250 mg/dL. What is the most appropriate next step in managing this patient?",Recommend vaccinations as part of comprehensive diabetes care.,"['Refer the patient to a cardiologist.', 'Recommend vaccinations as part of comprehensive diabetes care.', 'Order a hemoglobin A1c (HbA1c) test.', 'Start the patient on a low-carbohydrate diet.', 'Prescribe metformin immediately.']",B,Determine if the patient has hyperglycemia -> Check the patient's glucose level -> Check glucose level after a meal -> Glucose level >200 mg/dl -> Patient has diabetes -> Patient has type 2 diabetes -> Recommend vaccinations,hyperglycemia
"A 55-year-old male with a history of obesity and sedentary lifestyle presents to the clinic for a routine check-up. A fasting plasma glucose test reveals a level of 130 mg/dL. Based on this finding, what is the most appropriate next step in managing this patient's condition?",Recommend vaccinations,"['Recommend vaccinations', 'Order a hemoglobin A1c test to confirm the diagnosis', 'Initiate a weight loss program and exercise regimen', 'Prescribe metformin immediately', 'Refer the patient to a cardiologist']",A,Determine if the patient has hyperglycemia -> Check the patient's glucose level -> Check glucose level after fasting -> Glucose level >126 mg/dl -> Patient has diabetes -> Patient has type 2 diabetes -> Recommend vaccinations,hyperglycemia
"A 55-year-old male with a history of obesity and sedentary lifestyle presents to the clinic. His fasting blood glucose is consistently above 130 mg/dL, and a postprandial glucose test reveals a level of 220 mg/dL. Based on these findings and considering his age, what is the most appropriate initial recommendation?","Recommend aspirin for cardiovascular risk reduction, given the patient's age and diagnosis of type 2 diabetes.","['Start with metformin and lifestyle modifications.', 'Recommend aspirin for cardiovascular risk reduction, given the patient's age and diagnosis of type 2 diabetes.', 'Initiate insulin therapy immediately.', 'Prescribe a thiazolidinedione such as pioglitazone.', 'Recommend a consultation with a nephrologist.']",B,Determine if the patient has hyperglycemia -> Check the patient's glucose level -> Check glucose level after a meal -> Glucose level >200 mg/dl -> Patient has diabetes -> Patient has type 2 diabetes -> Recommend aspirin if age >40 yr,hyperglycemia
"A 55-year-old obese male with a history of hypertension and hyperlipidemia presents to your clinic for a routine check-up. He reports no specific complaints but mentions a family history of type 2 diabetes. A fasting plasma glucose test reveals a level of 130 mg/dL. Based on this information, what is the most appropriate next step in managing this patient?",Recommend aspirin therapy for cardiovascular risk reduction.,"['Initiate metformin therapy immediately.', 'Recommend aspirin therapy for cardiovascular risk reduction.', 'Refer the patient to an endocrinologist for further evaluation.', 'Recommend lifestyle modifications, including diet and exercise.', 'Prescribe a sulfonylurea to lower blood glucose.']",B,Determine if the patient has hyperglycemia -> Check the patient's glucose level -> Check glucose level after fasting -> Glucose level >126 mg/dl -> Patient has diabetes -> Patient has type 2 diabetes -> Recommend aspirin if age >40 yr,hyperglycemia
"A 58-year-old male with a history of obesity and sedentary lifestyle presents to your clinic. A random blood glucose test reveals a level of 250 mg/dL. Following this result, what is the most appropriate next step in managing this patient's potential condition?",Recommend a yearly dilated eye examination.,"['Advise the patient to start a strict ketogenic diet.', 'Initiate metformin therapy immediately.', 'Perform a comprehensive cardiovascular risk assessment.', 'Prescribe a sulfonylurea to control blood sugar.', 'Recommend a yearly dilated eye examination.']",E,Determine if the patient has hyperglycemia -> Check the patient's glucose level -> Check glucose level after a meal -> Glucose level >200 mg/dl -> Patient has diabetes -> Patient has type 2 diabetes -> Recommend yearly dilated eye examination,hyperglycemia
"A 5-year-old child is brought to the emergency department with acute onset of high-pitched breathing sounds, increased work of breathing, and cyanosis. The child's mother reports that the symptoms started suddenly while the child was playing with small toys. What is the most appropriate next step in the management of this patient?",Administer epinephrine to treat presumed anaphylaxis and laryngeal edema.,"['Administer corticosteroids to reduce airway inflammation.', 'Perform immediate tracheotomy.', 'Administer epinephrine to treat presumed anaphylaxis and laryngeal edema.', 'Obtain lateral radiographs of the neck to assess for epiglottitis.', 'Perform immediate bronchoscopy to visualize and remove the foreign object.']",C,"Patient with STRIDOR -> Initial history and physical examination -> Acute stridor -> Deliver specific therapy -> Chest x-ray film, CT scan with reformatting, Flow-volume loops",stridor
"A 55-year-old woman is scheduled for elective sigmoid colectomy due to diverticulitis. The surgeon classifies the procedure as clean-contaminated due to the risk of bowel flora spillage. Considering the need for antimicrobial prophylaxis, which of the following is the MOST appropriate choice for this patient, assuming local resistance patterns are unknown?",Clindamycin and Gentamicin,"['Clindamycin and Gentamicin', 'Ciprofloxacin', 'Cefoxitin', 'Cefazolin', 'Vancomycin']",A,Classify type of surgical procedure by infection risk -> Clean-contaminated procedures -> High-risk procedures only -> Clindamycin + Gentamicin,antimicrobial prophylaxis in surgical patients
"A 23-year-old male is scheduled for an appendectomy due to acute appendicitis. Considering the classification of surgical procedures and the need for antimicrobial prophylaxis, which of the following is the most appropriate choice for this patient?",Cefoxitin,"['Cefazolin', 'Vancomycin', 'Cefazolin plus metronidazole', 'Cefoxitin', 'Clindamycin']",D,Classify type of surgical procedure by infection risk -> Clean-contaminated procedures -> Gastrointestinal procedures -> Lower Gastrointestinal -> Appendectomy -> Cefoxitin,antimicrobial prophylaxis in surgical patients
"A 58-year-old woman is scheduled for an elective sigmoid colectomy due to diverticulitis. Her medical history is unremarkable, with no known allergies. According to established guidelines for antimicrobial prophylaxis, which of the following regimens is MOST appropriate for this patient?",Erythromycin and neomycin,"['Erythromycin and neomycin', 'Cefazolin', 'Gentamicin plus clindamycin', 'Cefazolin plus metronidazole', 'Vancomycin']",A,"Classify type of surgical procedure by infection risk -> Clean-contaminated procedures -> Gastrointestinal procedures -> Lower Gastrointestinal -> Ileocecal, Colorectal -> Erythromycin + Neomycin and/or Cefoxitin",antimicrobial prophylaxis in surgical patients
"A 58-year-old male presents with asymmetric, distal weakness and sensory loss in his lower extremities. His history is unremarkable, with no known toxic exposures or family history of neurological disorders. Physical examination reveals diminished reflexes in the affected limbs. Which of the following is the MOST likely underlying cause of this patient's peripheral neuropathy?",Vitamin B12 deficiency,"['Charcot-Marie-Tooth disease', 'Chronic inflammatory demyelinating polyneuropathy', 'Guillain-Barré syndrome', 'Vitamin B12 deficiency', 'Diabetic neuropathy']",D,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Distal -> Vitamin deficiency,peripheral neuropathy
"A 58-year-old male presents with progressive weakness and sensory loss in his feet and lower legs, which has gradually ascended over the past year. Examination reveals distal muscle atrophy, reduced ankle reflexes, and impaired vibration sensation in both feet. The weakness and sensory loss are asymmetric. Given this presentation, which of the following is the MOST likely diagnosis?",Hereditary Motor and Sensory Neuropathy (HMSN),"['Diabetic Neuropathy', 'Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)', 'Guillain-Barré Syndrome', 'Spinal Cord Compression', 'Hereditary Motor and Sensory Neuropathy (HMSN)']",E,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Distal -> HMSN,peripheral neuropathy
"A 58-year-old male presents with progressive asymmetric weakness affecting both proximal and distal muscles in his arms and legs. Sensory symptoms are minimal. Based on the provided information, which of the following conditions is most likely?",AIDP,"['Myopathy', 'AIDP', 'Amyotrophic Lateral Sclerosis (ALS)', 'Axonal Neuropathy', 'Myasthenia Gravis']",B,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Proximal and distal -> AIDP,peripheral neuropathy
A 58-year-old male presents with asymmetric motor and sensory deficits in a distal distribution. History and physical examination suggest a mononeuropathy multiplex. Which of the following conditions is most likely?,Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP),"['Amyloid Neuropathy', 'Amyotrophic Lateral Sclerosis (ALS)', 'Distal Muscular Dystrophy', 'Myasthenia Gravis', 'Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP)']",E,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Motor and sensory -> Distal (mononeuropathy multiplex) -> CIDP,peripheral neuropathy
"A 58-year-old male presents with progressive weakness and sensory loss in both arms and legs. Examination reveals asymmetric motor deficits, with both proximal and distal weakness. Which of the following conditions should be considered in the differential diagnosis?",Acute motor axonal neuropathy (AMAN),"['Chronic inflammatory demyelinating polyneuropathy (CIDP)', 'Amyotrophic lateral sclerosis (ALS)', 'Acute motor axonal neuropathy (AMAN)', 'Diabetic neuropathy', 'Guillain-Barré syndrome']",C,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Proximal and distal -> AMAN,peripheral neuropathy
"A 58-year-old male presents with progressive weakness and sensory loss in his limbs. Examination reveals asymmetric motor and sensory deficits affecting both proximal and distal muscles. Based on the clinical presentation and electrophysiological findings, which of the following conditions is most likely?",Acute motor axonal neuropathy (AMAN),"['Chronic inflammatory demyelinating polyneuropathy (CIDP)', 'Multifocal motor neuropathy (MMN)', 'Myasthenia gravis', 'Amyotrophic lateral sclerosis (ALS)', 'Acute motor axonal neuropathy (AMAN)']",E,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Motor and sensory -> Proximal and distal -> AMAN,peripheral neuropathy
"A 58-year-old male presents with progressive sensory ataxia, exhibiting incoordination and imbalance, particularly in the lower extremities. Physical examination reveals diminished proprioception and vibratory sensation. Electrophysiologic studies suggest a sensory neuronopathy. Given the clinical presentation and electrodiagnostic findings, what is the MOST important next step in evaluating the underlying cause of the patient's peripheral neuropathy?",Testing for HIV.,"['Heavy metal screening', 'Testing for HIV.', 'Lumbar puncture for CSF analysis', 'MRI of the brain and spinal cord', 'Vitamin B12 level']",B,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Electrophysiologic examination -> Sensory ataxia -> HIV,peripheral neuropathy
"A 58-year-old male presents with asymmetric motor and sensory deficits, accompanied by autonomic dysfunction such as orthostatic hypotension and constipation. Given the suspicion of peripheral neuropathy, which of the following underlying conditions should be highly considered?",Porphyria,"['Guillain-Barré syndrome', 'Diabetes mellitus', 'Amyloid neuropathy', 'Porphyria', 'Charcot-Marie-Tooth disease']",D,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Autonomic -> Porphyria,peripheral neuropathy
"A 58-year-old male presents with asymmetric motor and sensory deficits primarily in the distal extremities. After a detailed history and physical examination, which of the following conditions is MOST likely to be suspected, warranting further investigation?",Wegener's granulomatosis,"['Charcot-Marie-Tooth disease', 'Guillain-Barré syndrome', 'Wegener's granulomatosis', 'Vitamin B12 deficiency', 'Diabetic neuropathy']",C,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Motor and sensory -> Distal (mononeuropathy multiplex) -> Wegener's granulomatosis,peripheral neuropathy
"A 58-year-old man presents with asymmetric motor and sensory deficits predominantly in the distal extremities. His physical examination reveals weakness and sensory loss in the distribution of multiple individual nerves. Based on this presentation, which of the following is the MOST likely underlying cause?",Lyme disease,"['Guillain-Barré syndrome', 'Diabetic neuropathy', 'Amyloid neuropathy', 'Chronic inflammatory demyelinating polyneuropathy (CIDP)', 'Lyme disease']",E,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Motor and sensory -> Distal (mononeuropathy multiplex) -> Lyme disease,peripheral neuropathy
"A 58-year-old male presents with asymmetric motor and sensory deficits, predominantly in the distal extremities. Physical examination reveals weakness and sensory loss in the distribution of multiple individual nerves. Based on this presentation, which of the following is the most likely underlying cause?",Hereditary neuropathy with liability to pressure palsies (HNPP),"['Hereditary neuropathy with liability to pressure palsies (HNPP)', 'Chronic inflammatory demyelinating polyneuropathy (CIDP)', 'Amyotrophic lateral sclerosis (ALS)', 'Guillain-Barré syndrome (GBS)', 'Diabetic neuropathy']",A,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Motor and sensory -> Distal (mononeuropathy multiplex) -> HNPP,peripheral neuropathy
"A 58-year-old male presents with asymmetric weakness in both his proximal and distal extremities, accompanied by sensory loss. Physical examination reveals no facial or truncal involvement. Which of the following is the most likely underlying cause?",Leptomeningeal metastases,"['Myasthenia Gravis', 'Diabetic neuropathy', 'Guillain-Barré syndrome', 'Amyotrophic Lateral Sclerosis (ALS)', 'Leptomeningeal metastases']",E,Patient with PERIPHERAL NEUROPATHY -> History Physical examination -> Asymmetric -> Proximal and distal -> Leptomeningeal metastases,peripheral neuropathy
"A 70-year-old patient on warfarin presents with a significantly elevated PT/INR and active bleeding after a fall. The decision is made to initiate transfusion therapy with fresh frozen plasma and cryoprecipitate. Considering the patient's warfarin use and the need for relatively quick reversal of anticoagulation, what is the most appropriate initial step in managing this patient's coagulopathy?",Stop Warfarin,"['Administer platelets', 'Administer intravenous vitamin K', 'Administer a prothrombin complex concentrate (PCC)', 'Administer a single dose of FFP (10-20 ml/kg)', 'Stop Warfarin']",E,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> 48 hr available -> Stop Warfarin,transfusion therapy fresh frozen plasma and cryoprecipitate
"A 72-year-old male with a history of atrial fibrillation on warfarin presents to the emergency department with a nosebleed and an elevated INR of 4.0. He requires urgent reversal of his anticoagulation due to the active bleeding. Which of the following is the most appropriate initial treatment strategy, considering the need for reversal within 12 hours?",Administer Vitamin K,"['Administer Vitamin K', 'Administer fresh frozen plasma (FFP)', 'Administer platelets', 'Discontinue warfarin and monitor the INR', 'Administer prothrombin complex concentrate (PCC)']",A,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> 12 hr available -> Give Vitamin K,transfusion therapy fresh frozen plasma and cryoprecipitate
"A 72-year-old patient on warfarin presents with a significantly elevated PT/INR and active bleeding after a fall. Despite holding warfarin, rapid reversal of anticoagulation is needed due to the severity of the bleeding. What is the most appropriate immediate treatment to achieve hemostasis?",Administer FFP,"['Administer FFP', 'Administer platelets', 'Wait for 48 hours for the warfarin effect to subside', 'Administer vitamin K', 'Administer prothrombin complex concentrate (PCC)']",A,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> Immediate reversal -> Infuse FFP,transfusion therapy fresh frozen plasma and cryoprecipitate
A 58-year-old woman with a history of poorly controlled diabetes is admitted to the ICU due to septic shock secondary to a severe urinary tract infection. She has no known history of thyroid disease. Initial laboratory tests reveal a normal to decreased sTSH and normal to decreased FT4. What is the most appropriate next step in management?,Consult endocrinology if question of central hypothyroidism arises.,"['Monitor sTSH only, repeating if levels are above normal.', 'Repeat thyroid function tests in 7-10 days.', 'Initiate levothyroxine therapy.', 'Consult endocrinology if question of central hypothyroidism arises.', 'Obtain a full thyroid antibody panel.']",D,Patient with ACUTE OR CHRONIC MEDICAL ILLNESS OR MAJOR SURGERY -> sTSH and FT4 only if indicated clinically -> Normal to decreased sTSH and normal to decreased FT4 -> Consult endocrinology if question of central hypothyroidism arises,thyroid function tests in nonthyriudal illiness
"A 54-year-old male presents to the emergency department with shortness of breath and chest pain. A chest X-ray reveals a large pleural effusion. After thoracentesis, the pleural fluid analysis shows the following: Total protein in pleural fluid (TPf) is 3.0 g/dL, total protein in serum (TPs) is 6.0 g/dL, LDH in pleural fluid (LDHf) is 300 U/L, LDH in serum (LDHs) is 400 U/L, and LDHpf is greater than two-thirds the upper limit of normal. According to Light's criteria, what is the most likely classification of this pleural effusion?","Transudate, suggesting conditions like CHF, nephrotic syndrome, or cirrhosis.","['Transudate, suggesting conditions like CHF, nephrotic syndrome, or cirrhosis.', 'Exudate, suggesting infection or malignancy.', 'Empyema, requiring immediate drainage.', 'Hemothorax, suggesting trauma or bleeding.', 'Chylothorax, indicating lymphatic obstruction.']",A,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Transudate. CHF. Nephrotic syndrome. Cirrhosis. PE,pleural effusion
"A 54-year-old male presents to the emergency department with shortness of breath and chest pain. A chest X-ray reveals a large pleural effusion. After performing thoracentesis, the pleural fluid analysis shows the following: Total protein: 4.0 g/dL, Serum protein: 6.0 g/dL, Pleural fluid LDH: 300 U/L, Serum LDH: 400 U/L. What is the next step in evaluating the pleural effusion?",Examine the pleural fluid for color and odor to help determine the etiology.,"['Order a pleural fluid cytology', 'Perform a pleural fluid Gram stain and culture', 'Examine the pleural fluid for color and odor to help determine the etiology.', 'Calculate the Light’s criteria to classify the effusion as transudative or exudative', 'Measure the pleural fluid pH and glucose levels']",C,"Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Examine for color and odor. Bloody-PE, trauma, malignancy. Putrid- anaerobic infection. Milky- chylothorax",pleural effusion
"A 54-year-old male presents to the emergency department with shortness of breath and chest pain. A chest X-ray reveals a large pleural effusion. After thoracentesis, the pleural fluid analysis shows the following results: fluid protein/serum protein ratio of 0.6, fluid LDH/serum LDH ratio of 0.7, and fluid LDH level greater than two-thirds the upper limit of normal serum LDH. What is the next appropriate step in evaluating the patient's pleural effusion?",Perform Gram stain and culture of the pleural fluid.,"['Perform Gram stain and culture of the pleural fluid.', 'Measure the amylase level in the pleural fluid.', 'Obtain a pleural fluid cytology.', 'Initiate treatment for congestive heart failure.', 'Determine the triglyceride level of the pleural fluid.']",A,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Concern for infection -> Gram stain and culture,pleural effusion
"A 54-year-old male presents to the emergency department with shortness of breath and chest pain. A chest X-ray reveals a pleural effusion. A thoracentesis is performed, and the pleural fluid analysis reveals the following: Total protein (pleural fluid) 3.5 g/dL, Total protein (serum) 6.0 g/dL, LDH (pleural fluid) 400 U/L, LDH (serum) 250 U/L, and pleural fluid cell count of 4000 cells/uL. According to the reasoning sequence, what is the most likely classification of the pleural effusion?",Chronic exudate,"['Empyema', 'Transudate', 'Hemothorax', 'Chronic exudate', 'Acute exudate']",D,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Total cell count -> <5000 -> Chronic exudate,pleural effusion
"A 72-year-old male with a history of smoking and asbestos exposure presents with a large pleural effusion detected on chest X-ray. Thoracentesis is performed, and the pleural fluid analysis reveals an exudative effusion with positive cytology. Given the patient's history and the initial findings, what is the MOST appropriate next step in evaluating the etiology of the pleural effusion?",Flow cytometry,"['Pleural biopsy', 'Flow cytometry', 'Repeat cytology', 'Initiate empiric antibiotics', 'CT scan of the chest']",B,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cytology positive -> Lymphoma -> Flow cytometry,pleural effusion
"A 53-year-old male presents with a large pleural effusion. After thoracentesis, the pleural fluid analysis reveals the following: Total protein >8 g/dL, meeting the criteria for an exudate. Which of the following conditions should be most strongly considered in the differential diagnosis?",Multiple myeloma.,"['Viral Pleurisy.', 'Congestive heart failure.', 'Cirrhosis.', 'Tuberculosis.', 'Multiple myeloma.']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Other chemistry abnormalities -> Total protein >8 g/dl. Multiple myeloma. Waldenström's macroglobulinemia,pleural effusion
"A 53-year-old male presents to the emergency department with shortness of breath and chest pain. Physical examination reveals decreased breath sounds on the right side and dullness to percussion. A chest X-ray confirms the presence of a moderate-sized pleural effusion. After initial assessment, what is the MOST appropriate next step in management, assuming suspicion for congestive heart failure or viral pleurisy is high?",Observation,"['Initiate broad-spectrum antibiotics', 'Order a CT scan of the chest with contrast', 'Observation', 'Perform immediate thoracentesis for diagnostic and therapeutic purposes', 'Administer diuretics and monitor respiratory status']",C,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> Yes -> Observation,pleural effusion
"A 58-year-old male presents with an incidentally discovered elevated serum alkaline phosphatase level during a routine check-up. He denies any specific symptoms, pain, or history of fractures. His calcium and phosphorus levels are within normal limits. Considering the possible skeletal origin of the elevated alkaline phosphatase and normal calcium-phosphate homeostasis, what is the MOST appropriate next step in the evaluation?",Plain radiography directed at potentially affected sites.,"['Measurement of serum GGT and 5'-NT levels', 'Bone biopsy', 'Administration of bisphosphonates', 'Plain radiography directed at potentially affected sites.', 'MRI of the spine']",D,"Patient with elevated serum alkaline phosphatase level -> History, physical examination -> Laboratory tests: GGT, 5'-NT, other LFTs. Consider fractionation of alkaline phosphatase -> Skeletal origin -> Calcium, magnesium, phosphorus, 25-OH vitamin D. Consider: PTH, PTHrp -> Normal -> Consider: Paget's disease, metastases, healing fracture, inflammatory arthritis -> Radiography, bone scan",elevated serum alkaline phosphatase level
"A 23-year-old woman presents to her primary care physician complaining of vaginal discharge. She reports having had the discharge for about a week, and it is associated with itching and discomfort. She denies any fever, abdominal pain, or recent antibiotic use. Upon examination, a wet mount and Pap smear are performed, but the results are nondiagnostic. What is the MOST appropriate next step in evaluating the cause of her symptoms?",Consider possible allergic reaction,"['Consider possible allergic reaction', 'Prescribe a broad-spectrum antibiotic', 'Order a vaginal culture for bacterial vaginosis', 'Prescribe topical antifungal medication', 'Refer the patient to a gynecologist for further evaluation']",A,"Patient with Vaginal Discharge -> History, Physical examination -> Wet mount and Pap smear -> Nondiagnostic -> Possible allergic reaction",vaginal discharge
"A 56-year-old woman's husband died unexpectedly 6 months ago. Since then, she has experienced significant weight loss, difficulty sleeping, and constant worry. She has a past history of generalized anxiety disorder. Which of the following is the MOST appropriate next step in her treatment?",Antidepressants,"['Antidepressants', 'Cognitive behavioral therapy', 'Benzodiazepines', 'Sleep hygiene education', 'Grief counseling']",A,Patient Has Experienced SIGNIFICANT LOSS -> History -> Depressed mood -> Assess symptoms -> Anxiety disorders -> E,grief
"A 70-year-old woman is brought to your office by her daughter. The daughter reports that her mother's husband died 6 months ago. Since then, her mother has had significant loss, somatic distress, obsessions, compulsions, phobias, and panic attacks. The patient has no prior psychiatric history. Which of the following is the MOST appropriate next step in the management of this patient?",Antidepressants,"['Obtain a detailed psychiatric evaluation to assess for underlying anxiety disorders', 'Prescribe a short course of benzodiazepines', 'Refer the patient for expressive psychotherapy', 'Recommend grief counseling and social support groups', 'Antidepressants']",E,Patient Has Experienced SIGNIFICANT LOSS -> History -> Anxiety -> Assess symptoms -> Anxiety disorders -> E,grief
"A 55-year-old woman experienced the sudden loss of her spouse 6 months ago and has since exhibited persistent intense emotional pain, difficulty accepting the loss, and preoccupation with the circumstances surrounding their death. She has a history of unresolved grief from past relationships. Which of the following therapeutic approaches is MOST appropriate for this patient?",Expressive psychotherapy,"['Expressive psychotherapy', 'Cognitive behavioral therapy', 'Watchful waiting', 'Pharmacotherapy with antidepressants', 'Grief counseling']",A,Patient Has Experienced SIGNIFICANT LOSS -> History -> Unresolved grief -> Relationship history -> Pathologic grief syndrome -> H,grief
"A 58-year-old male with a history of hypertension and hyperlipidemia presents to your office complaining of left foot pain. On examination, you note mild edema in the left foot, but pedal pulses are normal and capillary refill is appropriate. What is the next best step in management?",Perform Doppler testing to rule out deep venous thrombosis,"['Prescribe a course of oral antibiotics', 'Elevate the foot and observe', 'Order an X-ray of the foot', 'Perform Doppler testing to rule out deep venous thrombosis', 'Apply a compression bandage']",D,"Patient with foot pain -> Assess arterial flow, venous insufficiency -> Venous insufficiency -> Perform Doppler testing to rule out deep venous thrombosis if unilateral foot swelling",foot pain
"A 25-year-old man presents with anxiety following a recent breakup. He reports excessive fear of enclosed spaces, which he recognizes as irrational. What is the most appropriate initial intervention?",Exposure therapy,"['SSRI medication', 'Beta-blockers', 'Exposure therapy', 'Cognitive-behavioral therapy', 'Prescribe a benzodiazepine']",C,Patient with ANXIETY -> Recent stressor -> Consider -> Excessive fear of specific situations -> Specific phobia -> +,anxiety
"A 30-year-old woman presents to your office complaining of excessive worry and anxiety following a recent job loss. She reports feeling restless, having difficulty sleeping, and experiencing muscle tension. She denies any history of substance abuse or psychiatric disorders. What would be the most appropriate initial treatment approach?",Prescribe a short-term benzodiazepine to manage acute anxiety symptoms.,"['Recommend regular exercise and relaxation techniques only.', 'Refer the patient for psychiatric evaluation.', 'Prescribe a long-term selective serotonin reuptake inhibitor (SSRI).', 'Prescribe a short-term benzodiazepine to manage acute anxiety symptoms.', 'Initiate cognitive behavioral therapy (CBT) immediately.']",D,Patient with ANXIETY -> Recent stressor -> Consider -> Short-Term Benzodiazepine,anxiety
A 25-year-old woman presents to the clinic complaining of significant anxiety following a recent job loss. She reports excessive fear of specific situations such as going to the grocery store or attending social gatherings. Which of the following is the MOST appropriate treatment approach for this patient?,Prescribe a benzodiazepine if the patient understands that it is a temporary measure and if there is no history of a psychoactive substance use disorder.,"['Start the patient on venlafaxine or imipramine.', 'Initiate a trial of an SSRI or clomipramine.', 'Recommend bilateral anterior cingulotomy.', 'Prescribe a benzodiazepine if the patient understands that it is a temporary measure and if there is no history of a psychoactive substance use disorder.', 'Encourage participation in a support group.']",D,Patient with ANXIETY -> Recent stressor -> Consider -> Excessive fear of specific situations -> Specific phobia -> Adjunctive Benzodiazepine,anxiety
"A 25-year-old woman presents to your clinic with a primary complaint of intense fear when encountering dogs. She reports that this fear has been present since childhood and significantly interferes with her daily life, as she avoids parks and other places where she might encounter dogs. She acknowledges that her fear is irrational and excessive, and physical examination is normal. Which of the following would be the MOST appropriate initial step in managing her condition?","Prescribe a benzodiazepine on a temporary basis, ensuring the patient understands its limitations and has no history of substance use disorder.","['Prescribe a beta-blocker to be taken before potential encounters with dogs.', 'Refer the patient for psychoanalysis.', 'Recommend cognitive-behavioral therapy with systematic desensitization.', 'Initiate a trial of an SSRI medication.', 'Prescribe a benzodiazepine on a temporary basis, ensuring the patient understands its limitations and has no history of substance use disorder.']",E,Patient with ANXIETY -> Organic factor -> Consider -> Excessive fear of specific situations -> Specific phobia -> Adjunctive Benzodiazepine,anxiety
"A 30-year-old woman reports feeling anxious, especially when she has to go outside. She mentions a recent stressful event at work and now feels a strong fear of being in open spaces or crowds. She avoids these situations but denies experiencing sudden panic attacks with physical symptoms like palpitations or shortness of breath. Based on this information, what is the most appropriate next step in evaluating her anxiety?",Rule out panic disorder,"['Explore the possibility of social phobia', 'Start cognitive-behavioral therapy for generalized anxiety', 'Assess for underlying medical conditions causing anxiety', 'Rule out panic disorder', 'Prescribe a benzodiazepine for immediate relief']",D,Patient with ANXIETY -> Recent stressor -> Consider -> Excessive fear of specific situations -> Agoraphobia without panic disorder -> Rule out panic disorder,anxiety
