name,zero_shot,real,question,path
palpitations,B,A,"A 32-year-old woman with no significant past medical history presents with frequent episodes of palpitations described as a rapid, pounding sensation in her chest, especially when stressed. An initial ECG is unremarkable, and she denies syncope or a family history of sudden cardiac death. What is the most appropriate next step in management?",Patient with paroxysmal palpitations and an unremarkable resting ECG → Ambulatory monitoring is the best next step to document intermittent arrhythmias before considering further interventions.
multiple pulmonary nodules,A,D,A 60-year-old male with a history of smoking presents with multiple pulmonary nodules on routine chest CT and reports mild shortness of breath. What is the MOST appropriate next step in the evaluation of his nodules?,"When noninvasive evaluations are inconclusive and the nodules are suspicious for malignancy, surgical biopsy is indicated to obtain a definitive tissue diagnosis."
pathologic fractures,"The correct answer is **(B)**. Here's why:* **Pathologic fracture:** This means the bone broke due to an underlying disease, not just from trauma. In a 72-year-old with normal bone density, this strongly suggests metastasis (cancer spreading to the bone).* **Bisphosphonate therapy:** These medications help slow bone breakdown and can strengthen weakened bones, potentially reducing further fracture risk.Let's look at why the other options are less appropriate:* **(A) Observation and pain management:** While important, this alone doesn't address the underlying cause of the fracture",D,A 72-year-old male presents with a pathologic fracture in his femur following a minor fall. His bone density is normal for his age. What is the most appropriate initial management strategy?,"In a patient with a pathologic fracture and normal bone density, the fracture is likely due to an underlying malignancy, and aggressive oncologic management is warranted."
pathologic fractures,"The correct answer is **(E) CT scan to evaluate cortical destruction**. Here's why:* **Clinical Presentation:** The patient has a pathologic fracture (a break caused by disease, not trauma), multiple lytic lesions (areas of bone loss), and a history of breast cancer. This strongly suggests metastatic bone disease.* **Why CT is Best:**A CT scan is best for evaluating the extent of bone destruction. It can clearly show:* The location and size of lytic lesions.* Whether cortical destruction (the outer shell of bone) is present, which is a hallmark of metastasis",C,A 72-year-old woman with a history of breast cancer presents with a pathologic fracture in her femur following a minor fall. Radiography reveals multiple lytic lesions throughout her skeleton. What is the MOST appropriate next step in evaluating the etiology of these radiolucent lesions?,"Bone marrow aspiration is indicated to evaluate for metastatic disease or hematologic malignancies (e.g., multiple myeloma) in a patient with multiple lytic lesions and a pathologic fracture."
pathologic fractures,"The correct answer is **(D) Bone scan**. Here's why:* **Clinical Presentation:** The patient presents with a pathologic fracture (a break caused by underlying disease, not just trauma), osteopenia, anemia, and an elevated ESR. This strongly suggests a systemic process affecting bone health.* **Bone Scan Utility:** A bone scan is excellent for detecting areas of increased metabolic activity in bones, which often indicates conditions like:* Metastatic cancer (common cause of pathologic fractures)* Bone infections* Paget's diseaseLet's look at why the",A,"A 72-year-old male presents with a pathologic fracture of the femur after a minor fall. Initial workup reveals generalized osteopenia, anemia, and an elevated ESR. Which of the following is the MOST appropriate next step in evaluating the underlying cause of the fracture?","Patient with pathologic fracture → Generalized osteopenia, anemia, elevated ESR → Suspect myeloma → First obtain SPEP/UEP to detect monoclonal proteins → If abnormal, perform bone marrow aspiration."
weakness,"The correct answer is **C**. Here's why:* **The patient's presentation suggests anemia:** Fatigue, dyspnea on exertion, and low hemoglobin (6.8 g/dL) are classic signs of anemia. * **Further evaluation is needed:**While transfusion might seem like the immediate solution, it's crucial to determine the *cause* of the anemia before proceeding. Iron deficiency, vitamin B12 deficiency, chronic disease, or other underlying conditions could be responsible.* **Monitoring and reassessment:**Observing the patient's symptoms and hemoglobin levels over 24 hours allows for",A,"A 72-year-old male with a history of coronary artery disease presents with fatigue, dyspnea on exertion, and a hemoglobin level of 6.8 g/dL. Considering the risks and benefits of red blood cell transfusion, which of the following is the MOST appropriate next step in management?","In an immunocompetent patient, standard non-irradiated red blood cells are appropriate for transfusion, as irradiation is reserved for specific immunocompromised settings."
smoking cessation,C,E,A 55-year-old male with a 30-pack-year smoking history expresses a desire to quit smoking. He has tried nicotine patches in the past but found them ineffective due to persistent cravings. What is the MOST appropriate next step in managing his smoking cessation attempt?,Patient for SMOKING CESSATION OR PREVENTION -> Smoker -> Educate Personalize risk Advise to quit -> Determine patient's readiness to quit -> Patient motivated -> Cont'd on p 679 -> Develop and implement quit plan -> Review available medications Discuss adverse reaction Stress need for psychological support -> Psychological support -> Group counseling
smoking cessation,"The best answer here is **(C) Bupropion SR**. Here's why:* **High Motivation:** The patient is highly motivated, which is crucial for success with any cessation method. * **Heavy Smoker:** He smokes 1.5 packs a day, indicating significant nicotine dependence.* **Previous Withdrawal Symptoms:** This suggests he needs strong support to manage withdrawal.**Let's analyze the options:*** **(A) Nicotine lozenges as needed:** While helpful for acute cravings, they may not be enough to manage his level of dependence and previous withdrawal experiences.*",B,"A 35-year-old male smoker, highly motivated to quit, has been smoking 1.5 packs per day for 15 years and reports significant withdrawal symptoms in previous attempts. He is now ready to quit. Which of the following is the MOST appropriate initial pharmacologic therapy, considering his history and motivation?",Patient for SMOKING CESSATION OR PREVENTION -> Smoker -> Educate Personalize risk Advise to quit -> Determine patient's readiness to quit -> Patient motivated -> Cont'd on p 679 -> Develop and implement quit plan -> Review available medications Discuss adverse reaction Stress need for psychological support -> Pharmacologic therapy -> Continuous -> NRT Adjust dosage to weight of patient -> Cont'd on p 681 -> Nasal spray
coma,D,E,"A 58-year-old male is brought to the emergency department in a comatose state with no known history of trauma. Initial assessment reveals stable vital signs, and a neurological exam shows no focal deficits. What is the MOST appropriate next step in evaluating the cause of his coma?",Patient in COMA -> Stabilize patient -> Neurologic examination Assess depth of coma -> No sign or history of trauma -> Nonfocal -> Possible toxic-metabolic etiologies -> Consider: Status epilepticus -> EEG
abnormal vaginal bleeding,D,B,"A 48-year-old perimenopausal woman presents with a history of abnormal uterine bleeding. An endometrial biopsy reveals hyperplasia without atypia. According to the guidelines, what is the most appropriate next step in management?",Patient with ABNORMAL VAGINAL BLEEDING -> Take patient history -> Perform physical examination and Pap smear -> Determine source of bleeding -> Source of bleeding is uterine -> Patient is perimenopausal -> Patient is greater than 40 years old -> Consider Ultrasound or Hysteroscopy -> Perform Endometrial Biopsy (EMB) or Hysteroscopy -> EMB/Hysteroscopy is positive -> Hyperplasia with or without atypia is found -> Repeat EMB in 3 months
involuntary weight loss,D,E,"A 72-year-old male with a history of hypertension and osteoarthritis presents to your office for a routine follow-up. During the visit, you notice he has lost 12 pounds since his last appointment 2 months ago. He denies intentionally losing weight. You recently started him on a diuretic for mild lower extremity edema. What is the most appropriate next step in managing this patient?",Patient with documented involuntary weight loss -> Recent institution of diuretic -> Observe. Repeat weight at 2 mo -> Documented further IWL
aseptic meningitis,E,A,"A 70-year-old male with a history of hypertension and stable heart failure presents to your office for a routine follow-up. He reports feeling well overall, but upon reviewing his chart, you notice a documented 6% weight loss since his last visit 2 months ago. He was started on a diuretic for lower extremity edema 3 months ago. What is the most appropriate next step in managing his involuntary weight loss?",Patient with documented involuntary weight loss -> Recent institution of diuretic -> Observe. Repeat weight at 2 mo -> Stable weight -> Usual follow-up
aseptic meningitis,D,E,"A 45-year-old male presents with fever, headache, and stiff neck. Physical examination reveals no focal neurological deficits. Lumbar puncture is performed, and CSF analysis shows elevated white blood cell count, low glucose, and high protein. Gram stain and bacterial cultures are negative. What is the next step in management?","Patient with SIGNS/SYMPTOMS OF MENINGITIS -> Nonfocal examination -> LP for glucose, protein, cell count, Gram stain, bacterial cultures, other tests depending on epidemiology and history. Hold an extra tube of CSF in laboratory -> Meningeal inflammation (elevated WBC, low glucose, or high protein) present -> Gram stain/culture negative -> Serologic or CSF evidence of syphilis -> Treat neurosyphilis"
aseptic meningitis,D,B,"A 34-year-old male presents with headache, fever, and stiff neck. Examination reveals no focal neurological deficits. Lumbar puncture results are pending. After CSF analysis shows meningeal inflammation but Gram stain and bacterial cultures are negative, what is the MOST appropriate next step in management, considering the risk factors for various causes of aseptic meningitis?","Patient with SIGNS/SYMPTOMS OF MENINGITIS -> Nonfocal examination -> LP for glucose, protein, cell count, Gram stain, bacterial cultures, other tests depending on epidemiology and history. Hold an extra tube of CSF in laboratory -> Meningeal inflammation (elevated WBC, low glucose, or high protein) present -> Gram stain/culture negative -> Risk for HIV: HIV test -> Source of aseptic meningitis could be HIV itself or secondary opportunistic infections"
prevention and screening,C,D,A 35-year-old male with no TB risk factors has a PPD induration of 12 mm at 72 hours. How should this result be interpreted?,"For individuals with no risk factors, a PPD induration ≥15 mm is required for a positive result; 12 mm is negative."
lymphadenopathy,E,D,A 54-year-old male presents to his primary care physician with new-onset inguinal lymphadenopathy that has persisted for approximately 3 weeks. Physical examination reveals enlarged nodes in the inguinal region. What is the MOST appropriate next step in the evaluation of this patient?,Patient with persistent inguinal lymphadenopathy → Next step: obtain tissue diagnosis via FNA
lymphadenopathy,F,A,A 55-year-old male presents with recent onset of recurrent lymphadenopathy. Physical examination reveals enlarged lymph nodes in the axilla. What is the MOST appropriate next step?,Axillary lymphadenopathy → Tissue diagnosis via biopsy of the affected axillary node is indicated
lymphadenopathy,E,A,"A 55-year-old male presents with recent onset of palpable lymphadenopathy. After a period of observation, the lymphadenopathy becomes recurrent. Upon physical examination, the physician notes a prominent, enlarged supraclavicular lymph node. What is the MOST appropriate next step in the evaluation of this patient?",Patient with LYMPHADENOPATHY -> Short-term New-onset -> Close observation -> Recurrent -> Laboratory tests -> Note location of enlarged node(s) -> Supraclavicular (high-risk) -> Direct tissue diagnosis required -> Excisional biopsy of the supraclavicular lymph node
lymphadenopathy,E,D,A 54-year-old male presents to your office with new-onset inguinal lymphadenopathy that has persisted for 3 weeks. Physical exam reveals enlarged nodes in the inguinal region. What is the MOST appropriate next step in management?,Patient with LYMPHADENOPATHY -> Short-term New-onset -> Close observation -> Recurrent -> Laboratory tests -> Note location of enlarged node(s) -> Inguinal -> Suspicion for malignancy -> Excisional biopsy of the inguinal lymph node
lymphadenopathy,B,D,A 55-year-old male presents with persistent inguinal lymphadenopathy for over two weeks. Physical examination reveals no apparent source of infection or inflammation in the lower extremities. An abdominal CT scan comes back negative. What is the MOST appropriate next step in management?,Patient with LYMPHADENOPATHY -> Persistent (>2 weeks) & Inguinal location -> Negative imaging studies -> Persistent clinical suspicion -> Excisional biopsy for definitive tissue diagnosis -> Histopathological evaluation -> Further management
female infertility,E,D,"A 32-year-old woman and her partner have been trying to conceive for 18 months without success. Her menstrual cycles are regular, and initial ovulation tests indicate normal function. After a hysterosalpingogram and postcoital test, the results come back normal. What is the most appropriate next step in managing this patient's infertility?","Infertility evaluation -> Regular cycles, normal ovulation, normal HSG and postcoital test -> Unexplained infertility -> Initiate treatment with IUI plus controlled ovarian stimulation"
anxiety,B,D,"A 30-year-old woman presents to her office complaining of excessive worry, restlessness, and difficulty concentrating for the past 7 months, significantly impacting her daily life. What is the most appropriate next step in managing her anxiety symptoms?",Patient with generalized anxiety disorder -> Chronic symptoms impacting function -> First-line treatment is an SSRI (often combined with CBT)
anxiety,E,D,"A 23-year-old graduate student experiences significant anxiety specifically when giving presentations. He reports feeling intensely self-conscious and fearful of judgment, which leads to physical symptoms like sweating and trembling. What would be the most appropriate initial treatment approach for his condition?",Patient with ANXIETY -> Performance anxiety (social phobia) -> Beta blockers effectively reduce physical symptoms when used prophylactically
respiratory symptoms in hiv-infected patients,"The correct answer is **D**. Here's why:* **The patient's symptoms describe agoraphobia**, which is characterized by fear and avoidance of situations where escape might be difficult or help unavailable.* **Adjunctive benzodiazepines or beta blockers** can provide immediate relief from anxiety symptoms in these situations, allowing the patient to gradually engage in feared activities. This can be helpful while starting longer-term treatments like CBT.Let's look at why the other options are less suitable:* **A. Tricyclic Antidepressants:** While effective for some anxiety disorders, they have more side",B,A 35-year-old woman presents to your office complaining of intense anxiety and fear when she has to leave her house to go to work or do errands. She states that she fears being in situations where escape might be difficult or help might not be available. She does not experience panic attacks outside of these situations. Which of the following is the most appropriate initial treatment approach?,Patient with ANXIETY -> Agoraphobia without panic disorder -> First-line treatment is SSRI monotherapy (with CBT as adjunct)
respiratory symptoms in hiv-infected patients,C,A,A 34-year-old HIV-infected male with a CD4 count of 400 cells/mm3 presents with a persistent cough and shortness of breath. A chest X-ray comes back normal. What is the next appropriate step in the evaluation of this patient's respiratory symptoms?,"HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices -> HIV+ with CD4 count >350 -> CXR normal -> Order CT scan to detect subtle findings -> Further evaluation if CT abnormal"
respiratory symptoms in hiv-infected patients,B,A,A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents to the emergency department with a persistent cough and shortness of breath. A chest X-ray reveals an abnormal opacity in the left lower lobe. What is the MOST appropriate next step in management?,"HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices -> HIV+ with CD4 count >350 -> CXR abnormal with focal opacity -> Suspect community-acquired pneumonia -> Initiate empiric antibiotic therapy"
respiratory symptoms in hiv-infected patients,B,E,"A 35-year-old HIV-positive patient with a CD4 count of 400 cells/ml presents with a subacute onset of fever, dyspnea, and a nonproductive cough. A chest X-ray reveals diffuse interstitial infiltrates. Given the patient's presentation and initial findings, which of the following is the MOST likely next step in management?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices -> HIV+ with CD4 count >350 -> CXR abnormal with diffuse infiltrates -> Subacute presentation -> Evaluate for Mycobacteria (suspect TB resp. atypical mycobacteria)"
respiratory symptoms in hiv-infected patients,B,A,"A 38-year-old HIV-positive man presents with a subacute onset of fever, dyspnea, and a non-productive cough. His CD4 count is unknown, but he reports a history of thrush and recent weight loss. A chest X-ray reveals focal infiltrates. Given his presentation and history, which of the following is the MOST appropriate next step in evaluating the etiology of his respiratory symptoms?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> History of immunosuppression -> CXR abnormal with focal infiltrates -> Subacute presentation -> Suspect Mycobacteria -> Obtain sputum samples for AFB smear and culture
respiratory symptoms in hiv-infected patients,B,D,"A 35-year-old HIV-positive man with a CD4 count of 150 cells/mm3 presents with subacute fever, dyspnea, and a cough. A chest X-ray reveals focal infiltrates. Given his HIV status and radiographic findings, what is the most likely etiology?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Advanced immunosuppression -> CXR abnormal with focal infiltrates -> Subacute presentation -> Suspect Mycobacteria (likely TB)
respiratory symptoms in hiv-infected patients,A,C,"A 35-year-old HIV-positive patient with a CD4 count of 400 cells/ml presents with a subacute onset of fever, dyspnea, and a cough. A chest X-ray reveals diffuse interstitial infiltrates. Given the patient's presentation and immune status, what is the most likely etiology?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> HIV+ with CD4 count >350 cells/ml -> CXR abnormal (diffuse infiltrates) -> Subacute presentation -> Endemic fungi
respiratory symptoms in hiv-infected patients,D,B,"A 35-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of fever, dyspnea, and a nonproductive cough. A chest X-ray reveals diffuse interstitial infiltrates. What is the most likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> HIV+ with CD4 count >350 cells/ml -> CXR abnormal (diffuse infiltrates) -> Subacute presentation -> Community-acquired bacterial pneumonia
respiratory symptoms in hiv-infected patients,B,A,"A 35-year-old HIV-positive male presents with subacute onset of fever, dyspnea, and headache. His CD4 count is unknown, but he reports a history of thrush and significant weight loss. Chest X-ray reveals focal infiltrates. Given his presentation and history, what is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Likely advanced immunosuppression (history of thrush, weight loss) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis"
respiratory symptoms in hiv-infected patients,B,D,"A 35-year-old HIV-positive man with a CD4 count of 40 cells/mm3 presents to the emergency department with a subacute onset of fever, dyspnea, and headache. A chest X-ray reveals focal infiltrates. Given his presentation and level of immunosuppression, which of the following is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Advanced immunosuppression (CD4 count 40) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis
respiratory symptoms in hiv-infected patients,E,C,"A 35-year-old HIV-positive male presents with subacute onset of fever, dyspnea, and a nonproductive cough. His CD4 count is unknown, but he has a history of thrush and weight loss. A chest X-ray is performed and shows focal infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Advanced immunosuppression (history of thrush, weight loss) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis (TB)"
respiratory symptoms in hiv-infected patients,B,E,"A 35-year-old HIV-positive man with a CD4 count of 150 cells/mm³ presents with a subacute onset of dyspnea and a non-productive cough. A chest X-ray reveals focal infiltrates. Given his presentation, which of the following is the most likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Advanced immunosuppression (CD4 150) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis (TB)
respiratory symptoms in hiv-infected patients,B,C,"A 45-year-old HIV-positive patient with a CD4 count of 400 cells/ml presents with subacute onset of fever, dyspnea, and a non-productive cough. A chest X-ray reveals diffuse interstitial infiltrates. Given the patient's presentation and immune status, which of the following opportunistic infections is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> HIV+ with CD4 count >350 -> CXR abnormal (diffuse infiltrates) -> Subacute presentation -> Community-acquired bacterial pneumonia
respiratory symptoms in hiv-infected patients,E,B,"A 35-year-old HIV-infected male presents with a subacute onset of fever, dyspnea, and a non-productive cough. His CD4 count is unknown, but he has a history of thrush. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Likely advanced immunosuppression (history of thrush) -> CXR abnormal (focal infiltrates) -> Subacute presentation -> Tuberculosis (TB)
respiratory symptoms in hiv-infected patients,D,B,"A 45-year-old HIV-positive man presents with subacute onset of fever, dyspnea, and a cough. His CD4 count is unknown. A chest X-ray reveals focal infiltrates. Given his presentation, which of the following opportunistic infections is the MOST likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> Advanced immunosuppression (CD4 count/percent, clinical features, history) -> CXR -> Abnormal -> Focal infiltrates -> Subacute presentation -> TB"
respiratory symptoms in hiv-infected patients,E,A,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents to the emergency department with a 3-day history of fever, cough, and shortness of breath. A chest X-ray reveals diffuse infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Abnormal -> Diffuse infiltrates -> Acute presentation (<5 days) -> Viral pneumonia"
respiratory symptoms in hiv-infected patients,B,D,"A 35-year-old HIV-positive male presents to the emergency department with a cough, fever, and shortness of breath that started 3 days ago. His CD4 count is unknown, but he reports a history of thrush and recent weight loss. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> Advanced immunosuppression (history of thrush, weight loss) -> CXR -> Abnormal (focal infiltrates) -> Acute presentation (<5 days) -> Bacterial pneumonia"
respiratory symptoms in hiv-infected patients,A,E,A 35-year-old HIV-positive man presents to the emergency department with a cough and shortness of breath for 3 days. His CD4 count is unknown. A chest X-ray reveals diffuse infiltrates. What is the most likely next step in management?,HIV-Infected Patient with RESPIRATORY COMPLAINTS -> (No TB red flags) -> Advanced immunosuppression assessment -> CXR -> Abnormal (diffuse infiltrates) -> Acute presentation (<5 days) -> Atypical pneumonia
respiratory symptoms in hiv-infected patients,"The correct answer is **D**. Here's why:* **The patient's presentation:** A 34-year-old HIV-positive patient with a CD4 count of 400 cells/mm³ (not severely immunocompromised) presenting with cough and shortness of breath for 3 days, along with diffuse infiltrates on chest X-ray, raises suspicion for several possibilities including PCP, community-acquired pneumonia, or other infections.* **Importance of sputum culture:** Obtaining sputum for Gram stain and culture is the most crucial next step to identify the causative organism. This will guide appropriate antibiotic therapy if bacterial",B,A 34-year-old HIV-positive patient with a CD4 count of 400 cells/mm³ presents with a cough and shortness of breath for 3 days. A chest X-ray shows diffuse infiltrates. What is the MOST appropriate next step in management?,"HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> HIV+ with CD4 count >350 cells/ml -> CXR -> Abnormal (diffuse infiltrates) -> Acute presentation (<5 days) -> Initiate empiric antibiotic therapy for community-acquired pneumonia"
respiratory symptoms in hiv-infected patients,A,E,"A 35-year-old HIV-positive patient with a CD4 count of 60 cells/mm³ presents to the emergency department with a 3-day history of fever, cough, and shortness of breath. A chest X-ray reveals focal infiltrates in the right lower lobe. The patient reports no history of TB exposure or recent travel. What is the most appropriate next step in management?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> Advanced immunosuppression (CD4 count, clinical features) -> CXR -> Abnormal (focal infiltrates) -> Acute presentation (<5 days) -> Community-acquired bacterial pneumonia"
respiratory symptoms in hiv-infected patients,A,C,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents to the emergency department with a 3-day history of fever, cough, and increasing shortness of breath. Chest X-ray reveals diffuse bilateral infiltrates. Given his acute presentation, what is the MOST likely underlying condition?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> HIV+ with CD4 count >350 -> CXR -> Abnormal (diffuse bilateral infiltrates) -> Acute presentation (<5 days) -> Community-acquired bacterial pneumonia
respiratory symptoms in hiv-infected patients,A,B,"A 34-year-old HIV-positive man presents with a cough and shortness of breath for 3 days. His CD4 count is unknown, but he reports a history of thrush. Chest X-ray reveals focal infiltrates. What is the most likely next step in management?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> Advanced immunosuppression (history of thrush) -> CXR -> Abnormal (focal infiltrates) -> Acute presentation (<5 days) -> Community-acquired bacterial pneumonia
respiratory symptoms in hiv-infected patients,E,D,"A 34-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a cough and shortness of breath for 3 days. A chest X-ray reveals diffuse infiltrates. Given the acute presentation, which of the following is the most likely causative organism?",HIV-positive with CD4 >350 -> Acute respiratory symptoms -> Diffuse infiltrates on CXR -> CAP pattern similar to immunocompetent hosts -> Legionella pneumophila
respiratory symptoms in hiv-infected patients,A,B,"A 35-year-old HIV-infected male presents to the emergency department with a fever and productive cough for 3 days. He reports a history of injection drug use but is unsure of his CD4 count and is not on prophylaxis. His chest X-ray shows diffuse infiltrates. Given this presentation, which of the following is the most likely causative agent?",HIV-infected with uncertain immune status + history of injection drug use -> Productive cough with diffuse infiltrates -> Most consistent with bacterial CAP -> Streptococcus pneumoniae
respiratory symptoms in hiv-infected patients,C,B,"A 45-year-old HIV-positive patient presents with a cough and fever for 3 days. His CD4 count is unknown, but he reports recent weight loss and oral thrush. A chest X-ray reveals focal infiltrates. Given the acute presentation, what is the most likely diagnosis?",HIV-positive with signs of immunosuppression but with focal infiltrates -> More consistent with bacterial CAP rather than opportunistic pneumonia -> Streptococcus pneumoniae pneumonia
respiratory symptoms in hiv-infected patients,C,B,"A 35-year-old HIV-positive patient with a CD4 count of 60 cells/mm³ presents to the emergency department with a high fever, cough, and shortness of breath that started abruptly 3 days ago. A chest X-ray reveals focal infiltrates in the right upper lobe. The patient is an IV drug user. What is the most likely next step in management?",HIV-positive with advanced immunosuppression + IV drug use -> Focal infiltrate on CXR -> Suspicion for septic emboli -> Initiate broad-spectrum antibiotics
respiratory symptoms in hiv-infected patients,"The correct answer is **D**. Here's why:* **Patient Profile:** The patient is HIV-positive with a low CD4 count (150 cells/mm³), placing him at high risk for opportunistic infections like PCP. * **Symptoms:** Subacute fever, dyspnea, and non-productive cough are classic symptoms of PCP.* **Chest X-ray:** Diffuse interstitial infiltrates on chest X-ray strongly suggest PCP.**While other options might be considered later in the evaluation, starting empiric treatment for PCP is the most crucial next step given the patient's risk factors and",A,"A 32-year-old HIV-positive man with a CD4 count of 150 cells/mm³ presents with a subacute onset of fever, dyspnea, and a non-productive cough. A chest X-ray reveals diffuse interstitial infiltrates. Given the patient's presentation and risk factors, what is the MOST likely next step in evaluating the etiology of his respiratory complaints, assuming TB risk factors and adherence to routine infection-control practices?",HIV-positive with CD4 150 -> Diffuse interstitial infiltrates -> First evaluation step: assess gas exchange to gauge severity
respiratory symptoms in hiv-infected patients,C,A,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/ml presents with a subacute onset of fever, dyspnea, and a nonproductive cough. A chest X-ray reveals diffuse infiltrates. What is the most likely diagnosis?",HIV-positive with CD4 400 -> Diffuse infiltrates and subacute symptoms -> Likely typical pneumonia seen in the general population
respiratory symptoms in hiv-infected patients,B,E,"A 35-year-old HIV-positive patient with a CD4 count of 60 cells/mm³ presents with a subacute onset of fever, dyspnea and a productive cough. A chest X-ray reveals focal infiltrates. What is the most likely diagnosis?",HIV-positive with CD4 60 -> Focal infiltrates + productive cough -> High suspicion for TB in advanced immunosuppression
respiratory symptoms in hiv-infected patients,B,A,"A 45-year-old HIV-positive patient presents with subacute onset of fever, dyspnea, and a cough. His CD4 count is unknown, but he reports a history of thrush and weight loss. A chest X-ray reveals focal infiltrates. Given the clinical presentation and radiographic findings, which of the following opportunistic infections is the MOST likely diagnosis?","HIV-Infected Patient with RESPIRATORY COMPLAINTS -> If TB risk factors, observe routine infection-control practices during evaluation -> Advanced immunosuppression (CD4 count/percent, clinical features, history) -> CXR shows focal infiltrates -> Subacute presentation -> Rhodococcus"
respiratory symptoms in hiv-infected patients,B,E,"A 45-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of fever, dyspnea, and a cough. A chest X-ray reveals diffuse infiltrates. Given his HIV status and respiratory symptoms, what is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 >350 -> CXR shows diffuse infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,"The correct answer is **(B) Tuberculosis (TB)**. Here's why:* **CD4 Count:** While a CD4 count of 400 cells/mL is not severely immunosuppressed, it's still below the healthy range. This makes opportunistic infections more likely.* **Subacute Onset:**Tuberculosis often presents with a gradual onset of symptoms like fever, cough, and shortness of breath.* **Focal Infiltrates:** Chest X-rays showing focal infiltrates are consistent with TB.**Important Note:** While PCP is a common opportunistic infection in HIV patients,",A,"A 45-year-old HIV-positive male with a CD4 count of 400 cells/mL presents with a subacute onset of fever, cough, and shortness of breath. A chest X-ray reveals focal infiltrates. Given his presentation and immune status, which of the following opportunistic infections is most likely?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 >350 -> CXR shows focal infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,A,E,"A 45-year-old HIV-positive man with a history of thrush and recent weight loss presents with a subacute onset of fever, cough, and shortness of breath. His CD4 count is unknown and a chest X-ray reveals focal infiltrates. What is the most likely diagnosis to consider in this patient?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> History of thrush and weight loss -> CXR shows focal infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,B,D,"A 45-year-old HIV-positive man with a history of thrush presents with subacute onset of fever, cough, and shortness of breath. His CD4 count is unknown and a chest X-ray reveals focal infiltrates. Which of the following is the MOST likely diagnosis?",HIV-Infected Patient with RESPIRATORY COMPLAINTS -> History of thrush -> CXR shows focal infiltrates -> Subacute presentation -> Nocardia
respiratory symptoms in hiv-infected patients,B,E,A 35-year-old HIV-positive man with a CD4 count of 400 cells/mm³ presents with a subacute onset of dyspnea and diffuse infiltrates on chest X-ray. Which of the following is the most likely diagnosis?,HIV-Infected Patient with RESPIRATORY COMPLAINTS -> CD4 400 -> Diffuse infiltrates -> Subacute presentation -> Kaposi's sarcoma
