ID,question,answer,options,correct_option,path,condition,label,modifications
414,"A 60-year-old male with a history of mitral stenosis presents to the emergency department with sudden, severe pain and absent pulses in his left leg. He denies any trauma. Physical examination reveals a cool, pale extremity with paresthesia. Which of the following is the MOST appropriate next step in management?",Prompt operative intervention,"['Initiation of intravenous heparin and assessment for thrombolysis', 'Prompt operative intervention', 'Observation with serial examinations', 'Elevation of the affected extremity and application of warm compresses', 'Administration of a single dose of aspirin']",B,"Patient with ACUTE PULSELESS EXTREMITY -> History of mitral stenosis suggests embolic source -> Absence of trauma supports embolism -> Physical exam findings (cool, pale extremity with paresthesia) indicate threatened limb viability -> Immediate initiation of IV heparin is standard -> Presence of neurological deficits mandates prompt operative intervention",acute pulseless extremity,1,Change reasoning path
415,"A 30-year-old patient presents with symptoms of depression, including low mood, fatigue, and difficulty concentrating, which started a few weeks after starting a new medication for hypertension. The patient denies any prior history of depression or substance abuse. What is the most appropriate next step in evaluating the patient's depression?",Discontinue the new antihypertensive medication and monitor for resolution of depressive symptoms.,"['Immediately start the patient on a selective serotonin reuptake inhibitor (SSRI).', 'Discontinue the new antihypertensive medication and monitor for resolution of depressive symptoms.', 'Obtain a detailed medical and psychiatric history, including a review of all current medications and substances used, and perform a physical and mental status examination.', 'Refer the patient for cognitive behavioral therapy.', 'Order a dexamethasone suppression test to assess for major depression.']",B,New antihypertensive started → Onset of depressive symptoms soon after → High suspicion for medication-induced depression → Discontinue the offending agent and monitor for resolution,depression,0,Change path
416,"A 32-year-old female presents with persistent low mood, fatigue, and difficulty concentrating for the past 4 months following a job loss. Her medical history is unremarkable, and she denies substance use. Physical examination is normal. Mental status examination reveals depressed mood and anhedonia, but no suicidal ideation. According to the information, what is the MOST appropriate next step in managing her condition?",Prescribe a course of cognitive behavioral therapy,"['Order a comprehensive panel of laboratory tests, including thyroid function and vitamin levels', 'Recommend lifestyle changes, including regular exercise and improved sleep hygiene', 'Prescribe a course of cognitive behavioral therapy', 'Treat specific underlying disorder', 'Initiate antidepressant therapy with an SSRI']",C,"History & exam are unremarkable aside from depressive symptoms after job loss → Findings consistent with adjustment disorder with depressed mood → First-line treatment is psychotherapy (eg, CBT)",depression,1,Change D to C
417,"A 30-year-old male presents with persistent low mood, fatigue, and difficulty concentrating for the past 4 months, triggered by a recent job loss. He denies suicidal ideation but admits to increased alcohol consumption to cope. After initial assessment, which of the following is the MOST appropriate next step in evaluating his condition?",Initiate substance abuse treatment.,"['Obtain a detailed medical and psychiatric history, medication/substance history, physical examination, and mental status examination.', 'Perform specific diagnostic tests related to adjustment disorder.', 'Initiate substance abuse treatment.', 'Prescribe an SSRI antidepressant.', 'Order a head CT or MRI.']",C,Job loss followed by depressive symptoms and increased alcohol use → Evaluation rules out organic causes → Findings consistent with adjustment disorder with depressed mood complicated by alcohol misuse → Initiate appropriate substance abuse intervention alongside supportive care,depression,0,Change path
418,"A 32-year-old male presents with persistent low mood, fatigue, and difficulty concentrating for the past 4 months, following a job loss. He denies substance abuse and has no significant medical history. After initial assessment, including mental status examination, what is the MOST appropriate next step in managing his condition?",Recommend supportive psychotherapy and monitor for resolution,"['Prescribe a selective serotonin reuptake inhibitor (SSRI) immediately', 'Recommend bright-light therapy', 'Recommend supportive psychotherapy and monitor for resolution', 'Refer for specialized tests like the dexamethasone suppression test', 'Initiate substance abuse treatment']",C,Job loss with subsequent depressive symptoms; no substance abuse → Evaluation consistent with adjustment disorder with depressed mood → Best managed with supportive psychotherapy and watchful monitoring,depression,1,Change E to C
419,"A 32-year-old woman presents with persistent low mood, fatigue, and difficulty concentrating for the past 3 months following a job loss. She denies any history of psychiatric illness or substance abuse. Physical examination is unremarkable. What is the most appropriate initial step in managing her condition?",Refer the patient for cognitive behavioral therapy,"['Recommend lifestyle changes, such as improved sleep hygiene and regular exercise.', 'Prescribe a short course of benzodiazepines to address anxiety symptoms.', 'Refer the patient for cognitive behavioral therapy (CBT) alone.', 'Initiate antidepressant medication and psychotherapy.', 'Order a comprehensive metabolic panel to rule out organic causes.']",C,"Job loss with subsequent mild-to-moderate depressive symptoms → Findings support adjustment disorder with depressed mood → First-line management is psychotherapy (eg, CBT) without immediate pharmacotherapy",depression,1,Change D to C
420,"A 32-year-old female presents with persistent low mood, fatigue, and difficulty concentrating for the past 4 months, following a recent job loss. Her medical history is unremarkable, and she denies any substance use. Initial lab results, including CBC, ESR, blood chemistries, and thyroid function tests, are normal. What is the MOST likely next step in managing this patient's condition?","Initiate supportive psychotherapy and monitor for resolution, considering a diagnosis of adjustment disorder with depressed mood.","['Prescribe low-dose trazodone for insomnia.', 'Augment treatment with lithium.', 'Prescribe a selective serotonin reuptake inhibitor (SSRI) such as fluoxetine.', 'Order a head CT or MRI to rule out organic causes.', 'Initiate supportive psychotherapy and monitor for resolution, considering a diagnosis of adjustment disorder with depressed mood.']",E,"Evaluation (history, exam, labs) rules out organic causes → Presentation is consistent with adjustment disorder with depressed mood → Best managed with supportive psychotherapy and monitoring",depression,0,Change path 
421,"A 30-year-old female presents with recurrent episodes of low mood, fatigue, and difficulty concentrating that occur predominantly during the winter months over the past 4 years. She denies suicidal ideation or significant changes in appetite or sleep during these episodes. Initial lab results are unremarkable. What would be the most appropriate initial treatment approach?",Bright-light therapy,"['MAOI medication', 'Bright-light therapy', 'Tricyclic antidepressant', 'SSRI medication', 'Lithium augmentation']",B,"Medical and psychiatric history. Seasonal pattern noted during winter months -> Consider: Seasonal Affective Disorder -> Diagnostic tests: CBC, ESR, thyroid function tests -> Confirm diagnosis of SAD -> Bright-light therapy",depression,2,"Changed the question to clearly indicate a seasonal pattern, making bright-light therapy the correct initial treatment."
422,"A 32-year-old patient presents with persistent low mood, fatigue, and difficulty concentrating for the past 4 months, following a significant job loss. Initial assessments, including medical and psychiatric history, physical examination, and mental status examination, rule out organic mood disorder and major depression. What is the MOST appropriate next step in managing this patient's condition?",Refer the patient for cognitive behavioral therapy (CBT) alone.,"['Initiate antidepressant medication, lithium, and psychotherapy.', 'Prescribe a short course of benzodiazepines for anxiety relief.', 'Recommend lifestyle changes, including exercise and improved sleep hygiene.', 'Monitor the patient's symptoms without intervention, as adjustment disorders typically resolve spontaneously.', 'Refer the patient for cognitive behavioral therapy (CBT) alone.']",E,Medical and psychiatric history. Medication/substance history. Physical examination. Mental status examination -> Consider: Adjustment disorder with depressed mood -> First-line treatment is psychotherapy (CBT) -> Refer for CBT.,depression,1,Change correct answer from option A to option E and update reasoning path accordingly.
423,"A 32-year-old woman presents with persistent low mood, fatigue, and difficulty concentrating for the past 4 months, following a recent job loss. Her medical and psychiatric history are unremarkable, and she denies substance use. Physical and mental status examinations are within normal limits, except for signs of depressed mood. Initial laboratory tests rule out organic causes. What is the most appropriate initial intervention?",Psychotherapy,"['Psychotherapy', 'Tricyclic antidepressant', 'SSRI medication', 'Bright-light therapy', 'Lithium augmentation']",A,Medical and psychiatric history. Medication/substance history. Physical examination. Mental status examination -> Consider: Adjustment disorder with depressed mood -> Psychotherapy.,depression,0,None.
424,A 55-year-old male presents to the emergency department with a red eye. He reports experiencing a blunt force trauma to the eye while playing sports three days ago. What is the most appropriate next step in managing this patient?,Consult an ophthalmologist immediately.,"['Administer pain medication and observe for 24 hours.', 'Apply a cold compress and advise the patient to rest.', 'Measure intraocular pressure and assess visual acuity.', 'Consult an ophthalmologist immediately.', 'Prescribe topical antibiotics and schedule a follow-up appointment with a general practitioner.']",D,Gather patient history. Determine recent trauma. Recognize potential serious ocular injury -> Consult an ophthalmologist immediately.,the red eye,0,None.
425,"A 30-year-old patient presents with a red eye following a recent sinus infection, with severe ocular pain, eyelid edema, and decreased vision. Examination reveals diffuse redness throughout the eye, swollen eyelids, and a conjunctival lesion suggestive of an abscess. What is the most likely diagnosis?",Orbital cellulitis or Orbital congestion,"['Subconjunctival hemorrhage', 'Viral conjunctivitis', 'Bacterial conjunctivitis', 'Orbital cellulitis or Orbital congestion', 'Allergic conjunctivitis']",D,"Gather history of sinus infection and ocular symptoms -> Evaluate for severe ocular pain, eyelid swelling, and decreased vision -> Findings consistent with orbital involvement -> Diagnosis: Orbital cellulitis or orbital congestion.",the red eye,2,"Changed question scenario to include sinus infection, severe pain, eyelid edema, and decreased vision to support the diagnosis."
426,"A 45-year-old patient presents with a red eye, reporting superficial pain and normal vision. Examination reveals diffuse redness throughout the eye and normal eyelids. What is the most appropriate next step in managing this patient?",Advise the patient to use artificial tears for symptomatic relief.,"['Prescribe topical antibiotics for presumed bacterial conjunctivitis.', 'Advise the patient to use artificial tears for symptomatic relief.', 'Refer the patient to rule out scleritis.', 'Recommend warm compresses and lid hygiene for possible blepharitis.', 'Monitor the patient for worsening symptoms before considering further intervention.']",B,"Evaluate ocular symptoms: superficial pain, normal vision, diffuse redness, and normal eyelids -> Findings consistent with mild conjunctivitis -> Recommend symptomatic treatment with artificial tears.",the red eye,1,Changed correct answer from option C to option B and updated reasoning path accordingly.
427,"A 54-year-old male contact lens wearer presents to the emergency department with a painful red eye. Examination reveals redness concentrated around the cornea, a small pupil, and layered white blood cells in the anterior chamber. What is the most likely underlying condition?",Endophthalmitis or corneal ulcer,"['Anterior uveitis (iritis)', 'Endophthalmitis or corneal ulcer', 'Graves’ orbitopathy', 'Acute angle-closure glaucoma', 'Scleritis']",B,"Evaluate patient history including contact lens use -> Assess ocular exam: corneal-centric redness, small pupil, and hypopyon -> Findings indicate a corneal ulcer (or endophthalmitis) -> Diagnosis: Endophthalmitis or corneal ulcer.",the red eye,2,Added contact lens wearer history to support the diagnosis of a corneal ulcer.
428,"A 55-year-old woman presents to the emergency department with a painful red eye. She reports decreased vision and headache. Examination reveals redness concentrated around the cornea, a small, irregular pupil, and a clear cornea. What is the most likely diagnosis?",Anterior uveitis,"['Acute angle-closure glaucoma', 'Orbital cellulitis', 'Corneal ulcer', 'Anterior uveitis', 'Scleritis']",D,Medical history -> Evaluate ocular pain and vision changes -> Redness concentrated around the cornea -> Pupil is small and irregular -> Cornea is clear -> Diagnosis: Anterior uveitis,the red eye,2,"the question stem modified to replace “moderately dilated pupil” with “small, irregular pupil.”"
429,"A 50-year-old patient presents to the clinic with a red eye. Upon examination, the redness is spread throughout the eye, and the eyelids show signs of inflammation with crusting. What is the most likely diagnosis and appropriate initial treatment?","Blepharitis, treat with warm compresses and lid hygiene.","['Bacterial conjunctivitis, treat with topical antibiotics.', 'Blepharitis, treat with warm compresses and lid hygiene.', 'Subconjunctival hemorrhage, monitor and reassure the patient.', 'Viral conjunctivitis, treat with cool compresses and astringent drops.', 'Allergic conjunctivitis, treat with topical antihistamine drops.']",B,History and exam -> Redness is diffuse -> Eyelid inflammation with crusting -> Findings consistent with blepharitis -> Treatment: Warm compresses and lid hygiene,the red eye,0,deemed consistent; no modification.
430,"A 25-year-old patient presents to the clinic with a red eye. The redness is spread throughout the eye, and examination reveals abnormal, edematous eyelids with some drooping. A conjunctival lesion is present, watery discharge is noted, and the patient reports significant itching. What is the most likely cause of the red eye?",Allergic,"['Allergic', 'Viral', 'Uveitis', 'Fungal', 'Bacterial']",A,"History and exam -> Diffuse redness -> Abnormal, edematous eyelids with drooping -> Conjunctival lesion with watery discharge -> Prominent itching -> Diagnosis: Allergic conjunctivitis",the red eye,2,Changed question stem to include significant itching.
431,A 25-year-old patient presents to the clinic with a red eye. The redness is spread throughout the eye. The patient reports a watery discharge and denies any itching or medication use. Examination reveals a conjunctival lesion. What is the most likely cause of the patient's red eye?,Viral conjunctivitis,"['Allergic conjunctivitis', 'Scleritis', 'Acute angle-closure glaucoma', 'Bacterial conjunctivitis', 'Viral conjunctivitis']",E,History and exam -> Diffuse redness -> Normal eyelids -> Watery discharge with conjunctival lesion -> Absence of itching -> Findings consistent with viral conjunctivitis,the red eye,1,Changed correct answer from “Allergic conjunctivitis”A to “Viral conjunctivitis”E and updated reasoning path accordingly.
432,"A 30-year-old patient presents with a red eye, diffuse redness, and abnormal eyelids without conjunctival lesions. After assessing for eyelid drooping, the physician suspects nonspecific conjunctivitis. Which of the following is the MOST appropriate treatment?",Treat with a topical antihistamine or mild topical antibiotic.,"['Apply warm compresses and lid hygiene.', 'Treat with a topical steroid.', 'Treat with cool compresses and astringent drops.', 'Treat with a topical antihistamine or mild topical antibiotic.', 'Prescribe oral tetracycline or doxycycline.']",D,History and exam -> Diffuse redness -> Abnormal eyelids with drooping -> No conjunctival lesions -> Suspected nonspecific conjunctivitis -> Treatment: Topical antihistamine or mild topical antibiotic,the red eye,0,deemed consistent; no modification.
433,A 50-year-old patient presents to the emergency department with a red eye. Examination reveals diffuse redness with normal eyelids and no conjunctival lesions. Which of the following is the most likely diagnosis?,Subconjunctival hemorrhage,"['Bacterial conjunctivitis', 'Subconjunctival hemorrhage', 'Acute angle-closure glaucoma', 'Anterior uveitis (iritis)', 'Viral conjunctivitis']",B,History and exam -> Diffuse redness -> Eyelids are normal -> No conjunctival lesions -> Findings consistent with subconjunctival hemorrhage,the red eye,2,Modified question stem by removing “abnormal eyelids with drooping” and changed answer option to “Subconjunctival hemorrhage.”
434,"A 30-year-old male presents to the emergency department with shortness of breath, hives, and dizziness after being stung by a bee. His vital signs are stable, and he has no known allergies. What is the most appropriate next step in managing this patient's condition?",Administer intramuscular epinephrine immediately.,"['Obtain a detailed history of previous allergic reactions.', 'Apply a tourniquet proximal to the sting site, apply ice, and compress the area.', 'Administer an oral antihistamine and observe the patient for 4-8 hours.', 'Start an IV of normal saline at a keep-open rate.', 'Administer intramuscular epinephrine immediately.']",E,"Assess history and presentation → Bee sting with systemic signs (shortness of breath, hives, dizziness) → Remove stinger if present → Recognize anaphylaxis → Administer intramuscular epinephrine immediately → Initiate supportive care",Anaphylaxis,1,Changed correct answer from option C to option E and updated reasoning path to reflect anaphylaxis management.
435,"A 30-year-old male presents to the emergency department with shortness of breath, hives, and lip swelling shortly after being stung by a bee. His vital signs are stable, but he is anxious and has audible wheezing. What is the most appropriate next step in managing this patient's condition?",Administer intramuscular epinephrine.,"['Administer an oral antihistamine.', 'Monitor for systemic signs and symptoms.', 'Apply a tourniquet proximal to the sting site, apply ice, and compress the area.', 'Administer intramuscular epinephrine.', 'Remove the stinger if present.']",D,"Assess history and exam → Bee sting with lip swelling, wheezing, and shortness of breath → Diagnosis of anaphylaxis → Remove stinger if applicable → Immediate administration of intramuscular epinephrine is required",Anaphylaxis,1,Changed correct answer from option A to option D and updated reasoning path accordingly.
436,"A 30-year-old patient with a known allergy to peanuts experiences sudden onset of dyspnea, wheezing, and urticaria after accidentally consuming a peanut-containing snack. Initial assessment reveals stable vital signs, but the patient reports increasing difficulty breathing. What is the most appropriate next step in managing this patient's condition?",Administer intramuscular epinephrine.,"['Initiate Basic and Advanced Cardiac Life Support measures.', 'Administer intramuscular epinephrine.', 'Administer intravenous corticosteroids.', 'Apply a venous occluding tourniquet.', 'Administer an oral antihistamine.']",B,"Assess allergy history → Sudden onset of dyspnea, wheezing, and urticaria after peanut ingestion → Signs of anaphylaxis → Increasing respiratory distress mandates immediate IM epinephrine → Initiate supportive measures",Anaphylaxis,1,Changed correct answer from option E to option B and updated reasoning path.
437,"A 32-year-old woman with a known allergy to peanuts experiences anaphylaxis after accidentally consuming a peanut-containing product. Initial treatment with epinephrine provides temporary relief, but she remains hypotensive despite repeated doses. After excluding other potential causes, what is the MOST appropriate next step in managing her persistent hypotension?",Administer a bolus of intravenous fluids.,"['Administer a bolus of intravenous fluids.', 'Administer an antihistamine such as diphenhydramine.', 'Increase the rate of epinephrine infusion.', 'Administer intravenous corticosteroids.', 'Place a pulmonary artery catheter to guide further treatment based on hemodynamic parameters.']",A,Assess history and exam → Anaphylaxis with persistent hypotension despite repeated epinephrine → Recognize refractory anaphylaxis → Next step: aggressive IV fluid resuscitation → Monitor hemodynamics,Anaphylaxis,1,Changed correct answer from option E to option A and updated reasoning path.
438,"A 32-year-old patient with a known history of severe allergic reactions presents to the emergency department after accidental exposure to peanuts. The patient is experiencing significant respiratory distress with audible wheezing, despite initial treatment with epinephrine. After a repeated dose of epinephrine, the patient's condition remains unstable. What is the most appropriate next step in managing this patient's anaphylactic reaction?",Administer a bolus of intravenous fluids.,"['Initiate extracorporeal membrane oxygenation (ECMO).', 'Administer a bolus of intravenous fluids.', 'Administer a high dose of intravenous antihistamines.', 'Administer intravenous theophylline for bronchodilation.', 'Perform an emergency tracheostomy.']",B,Assess history and exam → Severe anaphylaxis remains unstable after repeated epinephrine → Recognize refractory shock → Next step: aggressive IV fluid resuscitation → Continue supportive care,Anaphylaxis,1,Modified option B from “Place a pulmonary artery catheter…” to “Administer a bolus of intravenous fluids” as the correct answer and updated reasoning path.
439,"A 23-year-old patient with a known history of severe allergic reactions is brought to the emergency department after accidentally ingesting peanuts. The patient is experiencing difficulty breathing, wheezing, and hives. Initial assessment reveals hypotension and tachycardia. After initial management, what is the next appropriate step in the management of this patient?","Observe the patient for 24 hours, counsel on preventing future episodes, consider providing an anaphylaxis kit and prophylactic therapy.","['Observe the patient for 24 hours, counsel on preventing future episodes, consider providing an anaphylaxis kit and prophylactic therapy.', 'Administer an antihistamine to reduce the hives and itching.', 'Discharge the patient with instructions to follow up with an allergist.', 'Prescribe a short course of oral corticosteroids to prevent a delayed reaction.', 'Administer a bolus of intravenous fluids to address the hypotension.']",A,"Assess history and exam → Patient with anaphylaxis and cardiovascular involvement (hypotension, tachycardia) → After stabilization, prolonged observation to monitor for biphasic reaction → Counsel on future prevention and provide anaphylaxis kit",Anaphylaxis,0,No modification needed.
440,"A 32-year-old patient with a known allergy to peanuts experiences sudden onset of dyspnea, wheezing, and hives after accidentally consuming a peanut-containing snack. Initial treatment with epinephrine provides only partial relief of bronchospasm. What is the MOST appropriate next step in managing this patient's anaphylactic reaction?",Administer an aerosolized β2 agonist.,"['Administer a second dose of epinephrine.', 'Prepare for immediate intubation.', 'Administer an H1 receptor antagonist.', 'Administer intravenous theophylline.', 'Administer an aerosolized β2 agonist.']",E,"Assess history and exam → Persistent bronchospasm after initial epinephrine in anaphylaxis → Adjunct therapy: aerosolized β2 agonist for bronchospasm → Continue supportive measures (IV corticosteroids, H1/H2 blockers, consider intubation if needed)",Anaphylaxis,0,No modification needed.
441,"A 45-year-old male presents with a pituitary tumor confirmed via imaging. Considering the potential for hormonal hyperfunction related to the tumor, which of the following is the MOST appropriate next step in evaluating for acromegaly?",Measure IGF-1 and postglucose GH level,"['Measure IGF-1 and postglucose GH level', 'Measure TSH and free T4', 'Measure serum prolactin level', 'Perform visual field testing', 'Administer a dexamethasone suppression test']",A,Patient with pituitary tumor -> Evaluate for hormonal hyperfunction -> Suspect GH excess -> Screen with IGF-1 and confirm with postglucose GH measurement -> Diagnose acromegaly,Pituitary tumor,0,None.
442,"A 45-year-old woman is diagnosed with a pituitary macroadenoma. Her initial evaluation reveals normal prolactin, TSH, and gonadotropin levels, but her growth hormone (GH) level is elevated. What is the MOST appropriate next step in evaluating her GH status?",Perform an oral glucose tolerance test with GH measurement,"['Perform an arginine-GHRH stimulation test.', 'Perform an oral glucose tolerance test with GH measurement', 'Measure serum insulin-like growth factor-1 (IGF-1) levels', 'Perform an overnight dexamethasone suppression test', 'Measure serum cortisol levels']",B,Patient with pituitary tumor -> Elevated GH level noted -> Evaluation for acromegaly -> Confirmatory testing with an oral glucose tolerance test (GH suppression test) → Diagnose acromegaly,Pituitary tumor,1,Changed correct answer from option A to option B; reasoning path updated.
443,"A 45-year-old woman is diagnosed with a pituitary macroadenoma. After initial hormone level assessment, growth hormone deficiency is suspected. Which of the following is the MOST appropriate next step in evaluating her growth hormone status?",Arg-GHRH stimulation test,"['Administer a TRH stimulation test', 'Perform a dexamethasone suppression test', 'Obtain an MRI of the pituitary gland', 'Arg-GHRH stimulation test', 'Measure serum IGF-1 levels']",D,Patient with pituitary tumor -> Suspected GH deficiency -> Confirmation needed via GH stimulation testing -> Arg-GHRH stimulation test is an acceptable method for evaluating GH deficiency,Pituitary tumor,0,None.
444,A 42-year-old woman is diagnosed with a pituitary macroadenoma. Further evaluation reveals inappropriately low FSH/LH levels. What is the most appropriate next step in managing her condition?,Initiate estrogen/progestin replacement therapy,"['Monitor the tumor with repeat imaging every 12 months.', 'Perform transsphenoidal resection of the tumor.', 'Initiate estrogen/progestin replacement therapy.', 'Administer oral glucocorticoids.', 'Prescribe cabergoline or bromocriptine.']",C,Patient with pituitary tumor -> Evaluation for hypofunction -> Low FSH/LH in a female (<50 years) -> Hormone replacement indicated -> Initiate estrogen/progestin replacement therapy,Pituitary tumor,0,None.
445,A 45-year-old male patient is diagnosed with a pituitary tumor. Evaluation reveals symptoms suggestive of hypopituitarism with inappropriately low FSH and LH levels. What is the next step in managing this patient?,Testosterone replacement therapy,"['Testosterone replacement therapy.', 'Observation with serial hormone measurements', 'Initiate treatment with cabergoline', 'Referral to a neurosurgeon for surgical resection', 'MRI of the pituitary gland to assess tumor size and location']",A,Patient with pituitary tumor -> Evidence of hypogonadism (low FSH/LH) in a male -> Management of hypogonadism -> Testosterone replacement therapy,Pituitary tumor,0,None.
446,"A 70-year-old male presents with sudden-onset chest pain, shortness of breath, elevated jugular venous pressure, lower extremity swelling, and ascites. Physical examination reveals an RV heave and a right-sided S3. Which of the following is the most likely underlying cause of the patient's dyspnea?",Acute RV infarction/ischemia,"['Dilated cardiomyopathy', 'Pulmonary arterial hypertension', 'Pericardial tamponade', 'Aortic stenosis', 'Acute RV infarction/ischemia']",E,"Patient with acute cardiac symptoms -> Signs of right ventricular dysfunction (RV heave, right S3) -> In the setting of acute chest pain, consider RV infarction/ischemia as cause of isolated RV failure -> Diagnosis: Acute RV infarction/ischemia",Cardiac dyspnea,2,Modified question stem to include acute chest pain.
447,"A 70-year-old male presents with increasing dyspnea, elevated jugular venous pressure, ascites, and lower extremity swelling. Physical examination reveals an RV heave and a right-sided S3. His ECG shows low-voltage QRS complexes and echocardiography demonstrates thickened ventricular walls with preserved chamber size. Which of the following conditions is MOST likely contributing to the patient's dyspnea?",Restrictive cardiomyopathy,"['Pericardial tamponade', 'Pulmonary arterial hypertension', 'Dilated cardiomyopathy', 'Mitral valve regurgitation', 'Restrictive cardiomyopathy']",E,Patient with signs of right heart failure + ECG/echo findings suggestive of an infiltrative process -> Evaluation points toward intrinsic myocardial stiffness -> Diagnosis: Restrictive cardiomyopathy,Cardiac dyspnea,2,Modified question stem by adding ECG and echo findings to support restrictive cardiomyopathy.
448,"A 58-year-old male with a history of a congenital atrial septal defect, previously asymptomatic, presents with dyspnea, elevated jugular venous pressure, ascites, and lower extremity swelling. Physical examination reveals an RV heave, a right-sided S4, and a fixed splitting of S2. Which of the following is the MOST likely underlying cause of his symptoms?",Congenital or acquired left-to-right intracardiac shunts,"['Pericardial tamponade', 'Acute myocardial ischemia', 'Left ventricular systolic dysfunction', 'Pulmonary arterial hypertension', 'Congenital or acquired left-to-right intracardiac shunts']",E,"Patient with history of congenital ASD now presenting with right heart failure signs (RV heave, fixed splitting of S2) -> Suggestive of volume overload from left-to-right shunt -> Diagnosis: Congenital or acquired left-to-right intracardiac shunts",Cardiac dyspnea,2,Modified question stem to include history and physical findings (fixed S2 split) supportive of an intracardiac shunt.
449,A 50-year-old male is found unresponsive in his home. Emergency services arrive to find him pulseless and not breathing. What is the next appropriate step in managing this patient according to the AHA Emergency Cardiac Care algorithm for sudden cardiac death?,Begin chest compressions and rescue breaths.,"['Perform immediate pericardiocentesis.', 'Assess for and treat reversible causes, including hypothermia, as part of the differential diagnosis during resuscitation.', 'Begin chest compressions and rescue breaths.', 'Initiate immediate transport to the nearest hospital.', 'Administer epinephrine immediately.']",C,Recognize unresponsiveness and absence of pulse → Activate emergency response → Immediately initiate high-quality CPR (chest compressions and rescue breaths) → Later assess for reversible causes,Sudden cardiac death,1,Changed correct answer from option B to option C.
450,"A 32-year-old male presents to the emergency department with a sudden onset of palpitations and a rapid heart rate. He denies chest pain, shortness of breath, or dizziness. His blood pressure is 120/80 mmHg, and he appears stable. An ECG reveals narrow-complex tachycardia. Which of the following is the most appropriate next step in management?",Vagal maneuvers.,"['Vagal maneuvers', 'Initiate beta-blocker therapy', 'Evaluation of the ECG in sinus rhythm', 'Perform immediate synchronized cardioversion', 'Administer intravenous adenosine']",A,Patient presents with stable narrow-complex tachycardia → First-line management is to attempt vagal maneuvers to terminate SVT → Reassess rhythm after maneuver,Stable narrow-complex tachycardia,1,Changed correct answer from option C to option A.
451,"A 52-year-old woman with no prior cardiac history presents to the emergency department with palpitations and dizziness. Her ECG shows a narrow-complex tachycardia at a rate of 180 bpm. She denies chest pain or shortness of breath but reports a syncopal episode prior to arrival. After initial stabilization and assessment, preexcitation is not evident on her ECG. What is the MOST appropriate next step in management?",Initiate medical therapy with a beta-blocker or calcium channel blocker.,"['Obtain an echocardiogram to assess for structural heart disease.', 'Perform a carotid sinus massage in the emergency department.', 'Schedule an outpatient follow-up appointment with a cardiologist.', 'Refer the patient to an electrophysiologist for possible EPS and catheter ablation.', 'Initiate medical therapy with a beta-blocker or calcium channel blocker.']",E,Patient with narrow-complex tachycardia and syncope → No evidence of preexcitation on ECG → Initial management with medical therapy (beta-blocker or calcium channel blocker) is indicated before considering invasive EPS,Stable narrow-complex tachycardia,1,Changed correct answer from option D to option E.
452,"A 58-year-old male with a history of recurrent deep vein thrombosis (DVT) despite being on warfarin therapy presents to your clinic. He reports strict adherence to his prescribed dosage and denies any recent changes in his diet or medication regimen. Initial assessment reveals no contraindications to long-term anticoagulation. Given the patient's history of warfarin failure, which of the following is the MOST appropriate next step in managing his anticoagulation?","Consider higher-intensity warfarin therapy, targeting an INR of 2.5-3.5.","['Consider higher-intensity warfarin therapy, targeting an INR of 2.5-3.5', 'Add aspirin to the patient’s current warfarin regimen', 'Discontinue warfarin and initiate direct oral anticoagulant (DOAC) therapy', 'Switch to subcutaneous low molecular weight heparin (LMWH) therapy', 'Maintain current warfarin dosage and monitor INR closely']",A,"Patient with recurrent DVT on warfarin → Evaluate for adherence and therapeutic range → In the setting of warfarin failure, consider increasing the target INR as a next step in management",Long-term anticoagulation,0,No modification.
453,"A 58-year-old woman with a history of recurrent deep vein thrombosis (DVT) despite being on warfarin therapy requires long-term anticoagulation. After evaluating for contraindications, none are found. What is the MOST appropriate next step in managing her anticoagulation?","Initiate low molecular weight heparin (LMWH) therapy, such as enoxaparin 1 mg/kg SC q12h or 1.5 mg/kg SC q24h.","['Initiate low molecular weight heparin (LMWH) therapy, such as enoxaparin 1 mg/kg SC q12h or 1.5 mg/kg SC q24h.', 'Prescribe aspirin in addition to warfarin.', 'Monitor INR more frequently to ensure therapeutic range.', 'Increase the intensity of warfarin therapy to a target INR of 3.0-3.5.', 'Switch to a direct oral anticoagulant (DOAC) like rivaroxaban or apixaban.']",A,Patient with recurrent DVT despite warfarin → Confirmed adherence with no contraindications → Management option is to switch to LMWH therapy,Long-term anticoagulation,0,No modification.
454,"A 72-year-old male with a history of recurrent deep vein thrombosis (DVT) is initiated on warfarin for long-term anticoagulation with a target INR of 2.5-3.5. After initiation of therapy, the patient's INR is consistently below 2.0. What is the MOST appropriate next step in managing this patient's warfarin therapy?",Recheck INR within 1–2 weeks.,"['Recheck INR within 1–2 weeks', 'Switch to low molecular weight heparin (LMWH)', 'Administer a loading dose of warfarin', 'Add aspirin to the warfarin regimen', 'Increase the warfarin dose significantly and recheck INR in 3 days']",A,Patient on warfarin with target INR 2.5–3.5 → Current INR is subtherapeutic (<2.0) → Appropriate strategy is to adjust dosing and recheck INR in 1–2 weeks,Long-term anticoagulation,0,No modification.
