question,options,correct_option,path,condition
"A 45-year-old male presents with persistent belching as his primary complaint. Initial history and physical examination reveal no other associated symptoms. Explanation of air swallowing and reassurance do not alleviate his symptoms. Upper GI x-ray series and endoscopy show normal findings, but the belched gas is foul-smelling. Abdominal ultrasonography reveals no gallstones. What is the MOST appropriate next step in the management of this patient?","['Refer the patient for psychiatric evaluation', 'Consider Gut motility testing', 'Recommend dietary changes and stress reduction techniques', 'Prescribe a proton pump inhibitor', 'Perform a barium enema']",B,"Patient with Belching -> History, Physical examination -> No other symptoms, Explain process of air swallowing, Reassure patient -> Symptoms continue -> Upper GI x-ray series or upper GI endoscopy -> Normal findings, Belched gas (foul smelling) -> Abdominal ultrasonography -> No gallstones -> Consider: Gut motility testing",belching
"A 45-year-old woman presents to your office complaining of persistent belching, abdominal pain, vomiting, and weight loss. She also reports that the belched gas smells foul. Initial upper GI x-ray series and upper GI endoscopy findings are normal, but the foul-smelling gas persists. An abdominal ultrasound rules out gallstones. What should be considered next in the evaluation of this patient's belching?","['Perform a barium enema', 'Consider gut motility testing', 'Prescribe a proton pump inhibitor', 'Advise avoidance of carbonated beverages', 'Recommend psychological counseling']",B,"Patient with Belching -> History, Physical examination -> Other symptoms or signs present: Abdominal pain, Vomiting, Weight loss, Foul-smelling belched gas -> Upper GI x-ray series or upper GI endoscopy -> Normal findings, Belched gas (foul smelling) -> Abdominal ultrasonography -> No gallstones -> Consider: Gut motility testing",belching
"A 45-year-old male presents to your office complaining of excessive belching. He denies any abdominal pain, nausea, vomiting, or weight loss. Initial history and physical exam are unremarkable, and you reassure the patient. However, his symptoms persist, and he returns for further evaluation. Upper GI endoscopy reveals no abnormalities, but he mentions the belched gas is foul-smelling. What is the next appropriate step in management?","['Barium enema to evaluate for a gastrocolic fistula', 'Gastric emptying study to evaluate for gastroparesis', 'Abdominal ultrasound to evaluate for gallstones', 'Repeat upper GI endoscopy with biopsy', 'Trial of proton pump inhibitors']",A,"Patient with Belching -> History, Physical examination -> No other symptoms, Explain process of air swallowing, Reassure patient -> Symptoms continue -> Upper GI x-ray series or upper GI endoscopy -> Normal findings, Belched gas (foul smelling) -> Barium Enema -> Abnormal findings -> Treat Accordingly",belching
"A 45-year-old male presents with frequent belching, abdominal pain, vomiting, weight loss, and foul-smelling belched gas. Initial upper GI x-ray series reveals normal findings. What is the most appropriate next step in management?","['Refer for psychiatric evaluation', 'Order a gastric emptying study', 'Prescribe a proton pump inhibitor', 'Perform a barium enema', 'Refer for surgical evaluation after abdominal ultrasonography confirms gallstones.']",E,"Patient with persistent GI symptoms and foul-smelling gas -> Normal upper GI studies -> Abdominal ultrasonography to evaluate for gallstones -> If gallstones are confirmed, refer for surgical evaluation rather than simple reassurance.",belching
"A 45-year-old male presents to your office complaining of excessive belching. He reports no other symptoms and after a thorough history and physical exam, you suspect excessive air swallowing. You explain the process and reassure him. However, the belching persists and is now accompanied by foul-smelling gas. Upper GI series and endoscopy are normal, and a barium enema reveals no abnormalities. What is the next appropriate step in evaluating this patient's belching?","['Recommend a trial of simethicone to reduce gas.', 'Refer the patient for psychiatric evaluation to address potential anxiety.', 'Order a gastric emptying study to assess for gastroparesis.', 'Prescribe a proton pump inhibitor to reduce stomach acid.', 'Consider colonoscopy to rule out any underlying colonic pathology.']",E,"Patient with Belching -> History, Physical examination -> No other symptoms, Explain process of air swallowing, Reassure patient -> Symptoms continue -> Upper GI x-ray series or upper GI endoscopy -> Normal findings, Belched gas (foul smelling) -> Barium Enema -> Normal findings -> Consider: Colonoscopy",belching
"A 54-year-old male presents with persistent belching, abdominal pain, vomiting, and foul-smelling belched gas. An upper GI series and endoscopy are unremarkable. What is the most appropriate next step in the evaluation of this patient?","['Gastric emptying study', 'Trial of proton pump inhibitors', 'Upper abdominal ultrasonography', 'Esophageal manometry', 'Barium enema']",E,Patient with persistent belching and GI symptoms -> Negative upper GI workup -> Evaluate the lower GI tract with a barium enema to identify potential colonic pathology.,belching
"A 45-year-old woman with a history of recurrent episodes of severe abdominal pain in the right upper quadrant, associated with nausea and vomiting, undergoes a series of diagnostic tests, including abdominal ultrasonography, which reveals no gallstones. Subsequent biliary scintigraphy also yields negative results. An esophagogastroduodenoscopy (EGD) is unremarkable. Given the persistent symptoms and suspicion for biliary pathology, what is the MOST appropriate next step in the management of this patient?","['MRI of the abdomen to rule out other structural abnormalities', 'Referral for psychiatric evaluation to rule out functional abdominal pain', 'ERCP with biliary manometry to assess for sphincter of Oddi dysfunction and potential intervention', 'Laparoscopic cholecystectomy due to suspected gallbladder dyskinesia', 'Trial of antispasmodic medications to alleviate symptoms']",C,"Patient with suspected BILIARY COLIC -> History, Physical examination, Laboratory tests -> Abdominal ultrasonography -> No gallstones -> Biliary Scintigraphy -> No gallstones -> EGD -> Normal -> ERCP Biliary Manometry -> Choledocholithiasis -> SPHINCTEROTOMY and STONE EXTRACTION",biliary colic
"A 54-year-old female presents to the emergency department with severe right upper quadrant abdominal pain, nausea, and vomiting. Her lab results reveal elevated liver enzymes. An abdominal ultrasound confirms the presence of gallstones in the gallbladder, and a dilated common bile duct is noted. What is the most appropriate next step in the management of this patient?","['Oral cholecystography', 'Cholecystectomy with intraoperative cholangiography', 'Hepatobiliary iminodiacetic acid (HIDA) scan', 'Magnetic resonance cholangiopancreatography (MRCP)', 'ERCP with sphincterotomy and stone extraction']",E,"Patient with suspected BILIARY COLIC -> History, Physical examination, Laboratory tests -> Abdominal ultrasonography -> Gallstones -> Evidence of choledocholithiasis -> ERCP -> Choledocholithiasis -> SPHINCTEROTOMY and STONE EXTRACTION",biliary colic
"A 45-year-old woman presents with recurrent episodes of severe abdominal pain in the right upper quadrant, lasting for several hours. Initial abdominal ultrasonography reveals no gallstones. After a negative biliary scintigraphy and a normal EGD, what is the MOST appropriate next step in the evaluation of her condition?","['Laparoscopic cholecystectomy', 'MRCP to evaluate the biliary tree', 'Trial of antispasmodic medications for symptomatic relief', 'ERCP with sphincterotomy', 'ERCP with biliary manometry to assess for sphincter of Oddi dysfunction']",E,"Patient with suspected BILIARY COLIC -> History, Physical examination, Laboratory tests -> Abdominal ultrasonography -> No gallstones -> Biliary Scintigraphy -> No gallstones -> EGD -> Normal -> ERCP Biliary Manometry -> Biliary dyskinesia -> SPHINCTEROTOMY",biliary colic
"A 45-year-old woman with a history of recurrent episodes of severe abdominal pain, elevated liver tests, and a negative abdominal ultrasound for gallstones is suspected of having biliary colic. After ERCP, no obstruction is found. What is the MOST appropriate next step in the management of this patient?","['Trial of antispasmodic medications', 'Hepatobiliary iminodiacetic acid (HIDA) scan', 'Laparoscopic cholecystectomy', 'ERCP biliary manometry', 'Endoscopic ultrasound (EUS)']",D,"Patient with suspected BILIARY COLIC -> History, Physical examination, Laboratory tests -> Abdominal ultrasonography -> Gallstones -> Evidence of choledocholithiasis -> ERCP -> Normal -> ERCP Biliary Manometry -> Biliary dyskinesia -> SPHINCTEROTOMY",biliary colic
"A 54-year-old male reports persistent belching accompanied by foul-smelling gas, abdominal discomfort, and recent unintentional weight loss. Initial upper GI series and endoscopy were unremarkable, and a barium enema also showed normal findings. What is the next appropriate step in evaluating the cause of his belching?","['Consider Colonoscopy', 'Repeat upper GI endoscopy with biopsy', 'Empiric trial of proton pump inhibitors', 'Lactose tolerance test', 'Esophageal manometry']",A,Belching with weight loss and foul-smelling gas -> Negative upper GI workup and barium enema -> Consider colonic pathology -> Consider Colonoscopy,biliary colic
"A 45-year-old female presents with recurrent episodes of severe right upper quadrant pain, lasting several hours, often after fatty meals. Initial investigations, including abdominal ultrasonography, reveal gallstones but no evidence of choledocholithiasis. Despite this, her symptoms persist. What is the MOST appropriate next step in evaluating the cause of her pain?","['Prescribe antispasmodic medications to manage the pain.', 'Further evaluation for nonbiliary causes such as peptic ulcer disease or functional bowel disease should be considered.', 'Order a biliary scintigraphy to assess cystic duct obstruction.', 'Proceed directly to ERCP for possible sphincter of Oddi dysfunction.', 'Perform a cholecystectomy to remove the gallstones.']",B,"Patient with suspected BILIARY COLIC -> History, Physical examination, Laboratory tests -> Abdominal ultrasonography -> Gallstones -> Evidence of choledocholithiasis -> ERCP -> Normal -> Functional pain syndrome",biliary colic
A 45-year-old woman presents with recurrent episodes of severe right upper quadrant pain lasting several hours. Initial abdominal ultrasonography and biliary scintigraphy are negative. What is the MOST appropriate next step in management?,"['Order a CT scan of the abdomen to rule out other intra-abdominal pathologies.', 'Proceed with a laparoscopic cholecystectomy due to high suspicion of biliary colic.', 'Administer a trial of antispasmodics to manage potential biliary dyskinesia.', 'Perform an upper endoscopy (EGD) to evaluate for peptic ulcer disease or gastroduodenal tumors.', 'Schedule a diagnostic ERCP to assess for sphincter of Oddi dysfunction.']",C,Patient with suspected biliary colic and negative imaging -> Consider sphincter of Oddi dysfunction -> Schedule diagnostic ERCP to assess dysfunction,biliary colic
"A 28-year-old pregnant woman at 12 weeks gestation presents with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the MOST appropriate next step in evaluating the cause of her bleeding?","['Obtain a detailed obstetric history, including gravidity and parity', 'Perform a transvaginal ultrasound to assess fetal viability', 'Order a complete blood count and coagulation studies', 'Consider gynecologic causes such as cervical polyps or cervicitis.', 'Immediately prepare for a dilation and curettage (D&C)']",D,"With vaginal bleeding in early pregnancy and closed os, assessment of fetal viability is required -> Perform a transvaginal ultrasound to assess fetal viability",biliary colic
"A 28-year-old pregnant woman at 12 weeks gestation presents with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the next step in evaluating the cause of her bleeding?","['Perform a transvaginal ultrasound.', 'Obtain serial β-hCG measurements.', 'Prepare for dilation and curettage.', 'Consider non-gynecologic causes.', 'Evaluate for ectopic pregnancy.']",D,Closed cervical os in early pregnancy with bleeding -> Next step is to assess fetal viability via transvaginal ultrasound,biliary colic
"A 45-year-old female presents with recurrent episodes of severe right upper quadrant pain, lasting for a few hours, often after fatty meals. Initial abdominal ultrasonography is unremarkable. What is the MOST appropriate next step in management, assuming a high suspicion for continued cystic duct obstruction?","['Proceed with biliary scintigraphy to assess for cystic duct obstruction.', 'Refer for psychiatric evaluation for possible functional abdominal pain.', 'Order a CT scan of the abdomen to evaluate for other causes of abdominal pain.', 'Prescribe antispasmodics for symptomatic relief.', 'Perform an upper endoscopy to rule out peptic ulcer disease.']",A,"Patient with suspected BILIARY COLIC -> History, Physical examination, Laboratory tests -> Abdominal ultrasonography -> No gallstones -> Biliary Scintigraphy -> No gallstones -> EGD -> Normal -> CHOLECYSTECTOMY or Gallstone Dissolution",biliary colic
"A 45-year-old woman presents to the emergency department with severe, episodic RUQ abdominal pain, nausea, and vomiting.  Her pain started suddenly after eating a fatty meal and has lasted for several hours.  Initial abdominal ultrasound reveals gallstones in the gallbladder, but no evidence of CBD stones or dilation.  Liver function tests are normal. What is the MOST appropriate next step in the management of this patient?","['ERCP with sphincterotomy', 'Ursodeoxycholic acid for gallstone dissolution', 'Laparoscopic cholecystectomy', 'HIDA scan to assess gallbladder function', 'Observation with analgesics']",C,"Patient with suspected BILIARY COLIC -> History, Physical examination, Laboratory tests -> Abdominal ultrasonography -> Gallstones -> Evidence of choledocholithiasis -> ERCP -> Normal -> CHOLECYSTECTOMY or Gallstone Dissolution",biliary colic
A 58-year-old woman presents with unilateral leg swelling and pain. Deep venous thrombosis (DVT) is suspected. Which aspect of the patient's history is MOST relevant to explore?,"['Family history of migraines', 'Recent upper respiratory infection', 'History of inherited disorders of protein C and S deficiency', 'Current use of NSAIDs', 'Dietary habits and vitamin intake']",C,Patient with suspected Deep Venous Thrombosis -> Detailed history taking,deep venous thrombosis
"A 28-year-old pregnant woman at approximately 10 weeks gestation presents with vaginal bleeding. After stabilization and determination of gestational age, a speculum examination reveals an open cervical os. What is the most likely diagnosis?","['Inevitable abortion', 'Placenta previa', 'Threatened abortion', 'Cervicitis', 'Ectopic pregnancy']",E,Open cervical os at 10 weeks gestation with vaginal bleeding is consistent with inevitable abortion,deep venous thrombosis
"A 58-year-old male presents to the emergency department with left leg pain and swelling. Physical examination reveals calf tenderness and a positive Homan's sign. After initial assessment, non-invasive tests are performed. The Impedance Plethysmography (IPG) result is negative, but the Duplex Ultrasound (D-US) is positive for DVT. What is the next appropriate step in managing this patient?","['Prescribe compression stockings and monitor the patient for worsening symptoms.', 'Repeat IPG to confirm the negative result.', 'Perform venography for definitive diagnosis.', 'Initiate anticoagulation therapy.', 'Order a D-dimer assay to rule out DVT.']",D,"Patient with suspected Deep Venous Thrombosis -> Physical examination including pain, swelling and Homan's sign -> History and physical examination suspicious for DVT -> Noninvasive tests like IPG and D-US -> IPG Negative, D-US Positive -> Therapy",deep venous thrombosis
"A 28-year-old pregnant woman at 16 weeks gestation with uterine tenderness presents with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. Considering obstetric causes, what is the MOST likely cause of her bleeding?","['Ectopic pregnancy', 'Molar pregnancy', 'Placental abruption', 'Placenta previa', 'Cervicitis']",C,"At 16 weeks, vaginal bleeding with uterine tenderness and closed os suggests placental abruption",deep venous thrombosis
"A 28-year-old pregnant woman at 24 weeks gestation presents with vaginal bleeding. After stabilization, an ultrasound reveals a normal placental location, and speculum examination shows a closed cervical os. What is the most likely next step in evaluation?","['Immediately prepare for emergency cesarean section.', 'Perform a digital cervical examination to assess for cervical dilation.', 'Assess for potential obstetric causes, such as rupture of a fetal blood vessel.', 'Order a complete blood count and coagulation studies.', 'Obtain a detailed obstetric history, including previous pregnancies and deliveries.']",C,"In a 24-week patient with bleeding and closed os, evaluate for obstetric causes like vasa previa or fetal vessel rupture -> Assess for potential obstetric causes",deep venous thrombosis
"A 58-year-old woman presents with left leg pain and swelling. Physical examination reveals tenderness along the medial aspect of her calf, and Homan's sign is positive. After suspecting DVT based on history and physical exam, and the 125I with Fibrinogen test is positive, what is the next appropriate step in management?","['Perform a venography to confirm the diagnosis.', 'Administer a NSAID for pain relief and reassess in one week.', 'Order a D-dimer assay to rule out DVT.', 'Prescribe compression stockings and encourage ambulation.', 'Initiate IV heparin, SC heparin, or low molecular weight heparins, along with oral anticoagulants, bed rest, and extremity elevation.']",E,"Patient with suspected Deep Venous Thrombosis -> Physical examination including pain, swelling and Homan's sign -> History and physical examination suspicious for DVT -> Invasive tests like 125I with Fibrinogen and Venography -> 125I with Fibrinogen Positive -> Standard Therapy",deep venous thrombosis
"A 28-year-old pregnant woman at 24 weeks gestation presents with vaginal bleeding. After stabilization, an ultrasound reveals a normal placental location, and speculum examination shows an open cervical os. What is the most likely diagnosis?","['Placenta previa', 'Preterm labor', 'Placental abruption', 'Normal labor', 'Inevitable abortion']",D,Open cervical os at 24 weeks with vaginal bleeding indicates preterm labor,deep venous thrombosis
"A 35-year-old male with a history of HIV presents to the emergency department with fever, fatigue, and a non-productive cough. He is taking multiple medications. What is the most important aspect of his history to determine the cause of his symptoms?","['Inquire about the patient’s sexual history to evaluate risk of STIs.', 'Assess the patient’s CD4 count to evaluate for opportunistic infections.', 'Review the patient’s current antiretroviral and prophylactic medications to identify potential drug-related side effects.', 'Determine the patient’s recent travel history for exposure to endemic infections.', 'Evaluate the patient’s vaccination history.']",C,"In acutely ill HIV patients, medication review is crucial to identify adverse effects causing symptoms.",deep venous thrombosis
"A 45-year-old male presents with muscle cramps and aches primarily during exercise. A neurological examination is normal, and initial serum enzyme levels are also normal. An EMG and forearm exercise test come back normal. What is the most appropriate next step in managing this patient?","['Immediately refer the patient to a neurologist for further evaluation', 'Perform a muscle biopsy to rule out metabolic myopathies', 'Observe the patient and repeat studies as needed, considering the possibility of ordinary (benign) cramps if all further evaluations remain normal.', 'Start the patient on carbamazepine or amitriptyline for frequent daytime cramps', 'Prescribe quinine sulfate to control nocturnal cramps']",C,Patient with MUSCLE CRAMPS and ACHES -> With exercise -> Exercising muscles -> Neurologic examination -> Normal -> Serum enzyme levels -> Normal -> EMG + forearm exercise test -> Normal -> Observe -> Repeat studies normal -> Ordinary (benign) cramps,muscle cramps and aches
"A 45-year-old male with HIV and a CD4 count of 40 presents with cough, shortness of breath, and fever. What is the MOST appropriate next step in his management?","['Start empiric therapy for Pneumocystis jirovecii pneumonia (PCP)', 'Initiate broad-spectrum antibiotics', 'Refer the patient to ophthalmology for further evaluation', 'Order a chest X-ray and sputum analysis', 'Prescribe an antitussive for symptomatic relief']",A,Severely immunocompromised HIV patient with respiratory symptoms has a high likelihood of PCP -> Start empiric PCP therapy,muscle cramps and aches
"A 34-year-old male presents with muscle cramps and aches that occur specifically during exercise. A neurological examination is normal, but serum enzyme levels are elevated. Considering the possibility of a metabolic myopathy, which of the following deficiencies should be considered?","['Carnitine palmitoyl transferase deficiency', 'Phosphofructokinase deficiency', 'Myophosphorylase deficiency', 'Phosphoglycerate mutase deficiency', 'Phosphoglyceraldehyde kinase deficiency']",A,"Patient with MUSCLE CRAMPS and ACHES -> With exercise -> Exercising muscles -> Neurologic examination -> Normal -> Serum enzyme levels -> Elevated -> Muscle biopsy. Biochemical studies -> Metabolic myopathy. Consider deficiency of: Myophosphorylase, Phosphofructokinase, Phosphoglyceraldehyde kinase, Phosphoglycerate mutase, Lactate dehydrogenase, Carnitine palmityl transferase",muscle cramps and aches
"A 55-year-old male presents with muscle cramps and aches, particularly during exercise. After a thorough history and initial lab work, his neurological examination reveals abnormalities. What is the MOST appropriate next step in managing this patient?","['Prescribe quinine sulfate to control nocturnal cramps.', 'Order an electromyography (EMG) to look for evidence of myopathy.', 'Refer the patient to a neurologist for further evaluation.', 'Perform a forearm exercise test to measure serum lactate, pyruvate, and ammonia levels.', 'Advise the patient to stretch the affected muscle three times a day.']",C,"Patient with MUSCLE CRAMPS and ACHES -> With exercise -> Exercising muscles -> Neurologic examination -> Abnormal -> Refer to neurologist. Exclude: ALS, after poliomyelitis, Myotonic dystrophy, Radiculopathy, Neuropathy, Hereditary disorders",muscle cramps and aches
"A 58-year-old male presents with muscle cramps and aches in his buttocks, thighs, and calves that occur during exercise and disappear with rest. Which of the following conditions should be excluded first, considering the patient's symptoms?","['Vitamin D deficiency', 'Dehydration', 'Peripheral vascular disease', 'Hypothyroidism', 'Magnesium deficiency']",C,"Patient with MUSCLE CRAMPS and ACHES -> With exercise -> Focal, buttocks, thighs, calves -> Adult -> Disappears with rest -> Claudication -> Exclude: Peripheral vascular disease -> Investigate and treat accordingly",muscle cramps and aches
"A 23-year-old male presents to the emergency department after being involved in a motor vehicle accident where his car was rear-ended. He complains of severe neck pain, muscle spasms, occipital headache, and limited range of motion in his neck. What is the most relevant aspect of the patient's history to consider in the context of his neck pain?","['History of trauma', 'Medication allergies', 'Family history of arthritis', 'Patient's occupation', 'Previous episodes of neck pain']",A,Patient with NECK PAIN -> History -> Trauma,neck pain
A 45-year-old woman presents to her primary care physician complaining of neck pain. She reports that the pain started a few days ago and has been gradually increasing. What is the most important aspect of the history to determine in this patient?,"['The patient's current stress level and coping mechanisms.', 'The patient's family history of autoimmune diseases.', 'The onset and progression of the neck pain.', 'The patient's occupation and daily activities.', 'Any previous history of neck injuries or surgeries.']",C,Patient with NECK PAIN -> History -> Onset of pain,neck pain
"A 45-year-old male presents with neck pain following a motor vehicle accident. He reports pain radiating down his left arm, accompanied by numbness and tingling in his fingers. Which aspect of the patient's presentation is MOST crucial in guiding the next step in management?","['Patient's occupation', 'History of previous neck injuries', 'Severity of the neck pain', 'Patient's range of motion', 'Presence of neurologic symptoms in the upper extremities']",E,Patient with NECK PAIN -> History -> Neurologic symptoms,neck pain
"A 45-year-old woman presents with neck pain, stiffness, and limited range of motion, particularly in the morning. She also reports fatigue and occasional tingling in her fingers. Which aspect of her history would be most suggestive of an inflammatory arthritis as the underlying cause of her neck pain?","['Neck pain that improves with rest', 'Sudden onset of neck pain after exercise', 'History of trauma to the neck', 'Pain radiating down the arm', 'Morning stiffness lasting longer than 30 minutes']",E,Patient with NECK PAIN -> History -> Features of inflammatory arthritis,neck pain
"A 45-year-old male presents with neck pain following a motor vehicle accident. During physical examination, which of the following neurological findings would be most concerning and warrant further investigation?","['Subjective report of muscle spasms.', 'Tenderness upon palpation of the trapezius muscle.', 'Hyperreflexia in the lower extremities.', 'Pain radiating down the arm.', 'Limited range of motion in the neck.']",C,Patient with NECK PAIN -> Physical examination -> Neurologic findings,neck pain
"A 45-year-old woman comes to your office complaining of neck pain. She reports pain at the base of her neck and along the upper border of her trapezius muscle, accompanied by a headache. Which of the following is the MOST appropriate next step in evaluating this patient?","['Prescribe a course of strong opioid pain medications.', 'Immediately refer the patient to a neurosurgeon.', 'Order an MRI of the cervical spine.', 'Perform palpation of the paraspinal and upper trapezius muscles to assess for tenderness and muscle spasm.', 'Start the patient on a muscle relaxant and advise bed rest.']",D,Patient with NECK PAIN -> Physical examination -> Localization of painful areas,neck pain
A 45-year-old male presents with persistent neck pain following a motor vehicle accident. Physical examination reveals limited range of motion and muscle spasm. What is the most appropriate initial imaging study to evaluate for underlying structural abnormalities?,"['MRI of the cervical spine to evaluate for soft tissue injuries', 'Plain radiographs, including anteroposterior, lateral, oblique, flexion-extension, and open-mouth views, to assess for fracture or instability.', 'CT scan of the cervical spine to assess for bony abnormalities', 'Electromyography (EMG) to assess for nerve damage', 'Bone scan to evaluate for occult fractures']",B,"Patient with NECK PAIN -> Imaging -> Plain radiographs (Include anteroposterior, lateral, oblique, flexion-extension, and open-mouth views of odontoid)",neck pain
"A 45-year-old male presents to the clinic with persistent neck pain following a motor vehicle accident. Despite conservative management, his pain has not improved, and he now reports numbness and tingling in his right arm. What is the MOST appropriate next step in the evaluation of this patient?","['Order plain film radiographs of the cervical spine.', 'Initiate a course of oral corticosteroids.', 'Obtain MRI or CT of the cervical spine.', 'Refer the patient for electromyography (EMG).', 'Prescribe a muscle relaxant and encourage physical therapy.']",C,Patient with NECK PAIN -> Imaging -> MRI or CT,neck pain
A 45-year-old male presents with persistent neck pain following a motor vehicle accident. Initial imaging was inconclusive. What is the next appropriate step in evaluating the cause of his neck pain?,"['Physical therapy', 'Referral to pain management', 'Cervical traction', 'Electromyography', 'Chiropractic adjustment']",D,Patient with NECK PAIN -> Imaging -> Electromyography,neck pain
"A 54-year-old woman presents to her primary care physician complaining of persistent neck pain following a minor car accident two months prior. She describes the pain as a constant ache that radiates into her upper back and occasionally causes headaches. Physical examination reveals limited range of motion in her neck and tenderness upon palpation of the paraspinal muscles. She denies any numbness, tingling, or weakness in her arms or legs. What is the most appropriate next step in the evaluation of this patient's neck pain, considering potential underlying inflammatory or infectious etiologies?","['Order ESR or C-reactive protein', 'Refer to a pain management specialist', 'Start physical therapy', 'Prescribe NSAIDs and muscle relaxants', 'Order an MRI of the cervical spine']",A,Patient with NECK PAIN -> Imaging -> Laboratory tests: ESR or C-reactive protein in patients with suspected inflammatory arthritis or infection,neck pain
A 28-year-old female presents to her primary care physician 5 years after being successfully treated for Hodgkin's lymphoma. She is concerned about potential long-term effects of her treatment and the possibility of developing secondary malignancies. What is the most appropriate initial step in addressing her concerns regarding late effects of cancer treatment?,"['Prescription of prophylactic antibiotics to prevent infection', 'Routine surveillance imaging for occult malignancy', 'Genetic testing for cancer predisposition syndromes', 'Provide comprehensive counseling, including fertility options.', 'Referral to a psychologist for anxiety management']",D,"This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> Counseling at diagnosis, including fertility options",late issues for patients who survive the initial diagnosis and treatment of cancer
"A 55-year-old woman, previously treated for breast cancer, is now in remission. What is the most appropriate next step in her follow-up care?","['Prescribe a daily multivitamin to boost her immune system.', 'Initiate immediate chemotherapy to prevent recurrence.', 'Additional counseling and design of a follow-up scheme.', 'Discharge the patient with instructions to return if new symptoms arise.', 'Schedule a PET scan every 6 months to monitor for any signs of relapse.']",C,"This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> At the completion of initial therapy, additional counseling and design of follow-up scheme",late issues for patients who survive the initial diagnosis and treatment of cancer
"A 55-year-old woman, previously treated for breast cancer five years ago, is now in remission. Which of the following strategies is most appropriate for monitoring late malignancies in this patient?","['Routine blood counts every six months', 'Aggressive management of any minor infection', 'Annual influenza vaccination', 'Implementing regular screenings for secondary malignancies, including mammograms, Pap smears, and skin examinations, alongside diagnosis-specific follow-up.', 'Psychological counseling focusing on anxiety reduction']",D,"This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> Monitor for late malignancies, including relapse of primary cancer, additional cancers of the same organ, secondary malignancies due to treatment: mammograms, Pap smear, skin examination, and diagnosis-specific follow-up",late issues for patients who survive the initial diagnosis and treatment of cancer
"A 58-year-old woman, previously treated for breast cancer five years ago, presents with persistent fatigue, unexplained weight loss, and a new, palpable lump in her right axilla. Considering the potential for late development of new cancers following initial therapy, what is the most appropriate next step in her management?","['Schedule routine follow-up appointment in 3 months', 'Prompt and rigorous laboratory and radiologic evaluation of new symptoms or physical findings', 'Reassure the patient that these symptoms are common after cancer treatment', 'Initiate palliative care', 'Prescribe antidepressants for fatigue']",B,This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> Prompt evaluation of new signs or symptoms,late issues for patients who survive the initial diagnosis and treatment of cancer
"A 55-year-old woman, treated for Hodgkin's lymphoma 10 years ago with chemotherapy and radiation, presents with fatigue, unexplained weight loss, and frequent infections. Physical examination reveals enlarged lymph nodes. Which of the following is the MOST appropriate next step in managing her potential late complications from prior cancer treatment?","['Psychological counseling for fear of relapse', 'Monitor and treat organ dysfunction', 'Aggressive chemotherapy for potential relapse', 'Genetic counseling and testing', 'Surgical removal of enlarged lymph nodes']",B,"This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> Monitor and treat organ dysfunction caused by therapy: TSH if radiation, reproductive counseling, cardiovascular health issues",late issues for patients who survive the initial diagnosis and treatment of cancer
"A 35-year-old woman, successfully treated for Hodgkin's lymphoma at age 20, expresses concern about potential health risks for her children and siblings. She is otherwise healthy but remembers the trauma of her cancer treatment. What is the most appropriate next step in managing her concerns regarding potential shared genetic risks?","['Encouraging her to participate in cancer research studies.', 'Routine blood tests to screen for common genetic mutations.', 'Referral to a genetics clinic for genetic counseling and testing.', 'Reassurance that her children are unlikely to develop cancer.', 'Annual physical exams with a focus on cancer screening.']",C,"This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> Genetic counseling, testing, and intervention in appropriate contexts",late issues for patients who survive the initial diagnosis and treatment of cancer
"A 58-year-old woman, who was treated for Hodgkin's lymphoma 10 years ago, is now in remission. What is the most important next step in her ongoing care, considering the potential long-term effects of her previous cancer treatment?","['Initiating high-dose chemotherapy to prevent recurrence', 'Referring her for immediate genetic testing to assess risk of inherited cancer syndromes', 'Prescribing prophylactic antibiotics to prevent infections', 'Scheduling annual PET/CT scans for early detection of any new malignancies', 'Ongoing rigorous health maintenance with particular attention to cardiovascular health, general health habits, and smoking cessation']",E,"This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> Ongoing rigorous health maintenance with particular attention to cardiovascular health, general health habits, smoking cessation",late issues for patients who survive the initial diagnosis and treatment of cancer
"A 55-year-old woman, previously treated for breast cancer, expresses anxiety about potential long-term effects and recurrence. What is a crucial aspect of care to address her concerns?","['High-dose chemotherapy to prevent secondary malignancies', 'Referral to a genetic counselor for hereditary risk assessment', 'Aggressive surveillance imaging for early detection of recurrence', 'Symptom-triggered interventions', 'Continued access to appropriate psychosocial support']",E,This is a decision tree for patients who have been previously treated for cancer and are at risk of developing secondary malignancies. -> Continued access to appropriate psychosocial support,late issues for patients who survive the initial diagnosis and treatment of cancer
