question,answer,options,correct_option,path,condition
"A 54-year-old male presents with shortness of breath and chest pain. A chest X-ray reveals a large pleural effusion. After thoracentesis, the pleural fluid analysis shows the following: Total protein (pleural fluid) 4.0 g/dL, Total protein (serum) 6.0 g/dL, LDH (pleural fluid) 400 U/L, LDH (serum) 500 U/L, Upper limit of normal for serum LDH: 200 U/L. According to Light's criteria, what is the most likely classification and possible etiology of this pleural effusion?","Exudative effusion, further evaluation for etiologies such as infection, malignancy, or pancreatitis is warranted.","['Transudative effusion, likely due to congestive heart failure.', 'Exudative effusion, further evaluation for etiologies such as infection, malignancy, or pancreatitis is warranted.', 'Transudative effusion, likely due to cirrhosis.', 'Exudative effusion, likely due to hypoalbuminemia.', 'Transudative effusion, no further evaluation is needed.']",B,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Other chemistry abnormalities -> Elevated amylase. Pancreatitis. Malignancy. Esophageal rupture,pleural effusion
"A 54-year-old male presents with shortness of breath and chest discomfort. A chest X-ray reveals a pleural effusion. After thoracentesis, the pleural fluid analysis shows the following: Total protein >8 g/dL, fluid protein/serum protein ratio of 0.6, fluid LDH/serum LDH ratio of 0.7, and fluid LDH level greater than two-thirds the upper limit of normal serum LDH. What condition should be highly suspected given these findings?",Multiple myeloma,"['Congestive heart failure', 'Tuberculosis', 'Bacterial pneumonia', 'Multiple myeloma', 'Pulmonary embolism']",D,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Other chemistry abnormalities -> Total protein >8 g/dl. Multiple myeloma. Waldenström's macroglobulinemia,pleural effusion
"A 54-year-old male presents with a large pleural effusion detected on a chest X-ray. After thoracentesis, the pleural fluid analysis reveals the following: Total Protein (pleural fluid) / Total Protein (serum) = 0.6, LDH (pleural fluid) / LDH (serum) = 0.7, and LDH (pleural fluid) is greater than two-thirds the upper limit of normal in the serum. Assuming all initial studies are unrevealing, what is the next appropriate step in management?",Observation and possible pleural biopsy if the effusion recurs.,"['Initiate antibiotic therapy for presumed parapneumonic effusion.', 'Prescribe diuretics and monitor for resolution, suspecting CHF.', 'Order a CT scan of the chest with contrast to evaluate for pulmonary embolism.', 'Start antituberculosis therapy.', 'Observation and possible pleural biopsy if the effusion recurs.']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> All studies unrevealing. Observation. Pleural biopsy if recurrent,pleural effusion
"A 72-year-old male presents with shortness of breath and chest discomfort. Physical examination reveals decreased breath sounds on the right side, dullness to percussion, and decreased tactile fremitus. A chest X-ray confirms the presence of a pleural effusion. What is the most appropriate next step in the evaluation of this patient?","Obtain PA and lateral chest X-rays, considering a decubitus film or ultrasound to further evaluate the effusion.","['Perform immediate thoracentesis for fluid analysis.', 'Administer intravenous diuretics to reduce fluid overload.', 'Order a CT scan of the chest with contrast.', 'Prescribe broad-spectrum antibiotics to cover potential infections.', 'Obtain PA and lateral chest X-rays, considering a decubitus film or ultrasound to further evaluate the effusion.']",E,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> Yes -> Observation,pleural effusion
A 55-year-old male presents to the emergency department complaining of acute onset dyspnea. He has a history of hypertension and obesity. What is the most appropriate initial step in evaluating this patient?,"Assess the patient's history, focusing on the acute nature of the dyspnea and associated symptoms.","['Order a chest X-ray to rule out pulmonary causes.', 'Administer oxygen and monitor oxygen saturation.', 'Assess the patient's history, focusing on the acute nature of the dyspnea and associated symptoms.', 'Perform a physical examination, including auscultation of the lungs and heart.', 'Obtain an ECG to evaluate for cardiac ischemia.']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> Acute dyspnea should be evaluated urgently, often in the emergency department. -> often in emergency department",dyspnea
"A 54-year-old male presents to the clinic complaining of shortness of breath that has gradually worsened over the past six months. He has a history of hypertension and occasional palpitations. His physical exam reveals mild bibasilar crackles and a slightly elevated jugular venous pressure. After performing a chest X-ray (CXR) and a complete blood count (CBC), what is the next best step in evaluating the cause of his dyspnea, considering potential cardiac involvement?","The next step should be ECG, echocardiography, and possible cardiopulmonary exercise testing.","['Pulmonary function testing (PFT).', 'Administering a bronchodilator and assessing response.', 'Prescribing a course of antibiotics to rule out infection.', 'The next step should be ECG, echocardiography, and possible cardiopulmonary exercise testing.', 'Performing a high-resolution CT scan of the chest.']",D,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> The most common nonpulmonary causes of dyspnea are cardiac in origin. These include CHF, cardiac ischemia, arrhythmias, and valvular disease. -> These different causes can be better distinguished by ECG, echocardiography, and possible cardiopulmonary exercise testing. -> Abnormal -> Treatment should be guided by the individual diagnosis.",dyspnea
"A 52-year-old woman presents to the emergency department complaining of shortness of breath that has gradually worsened over the past few weeks. She has a history of hypertension and type 2 diabetes, but no known lung disease. She denies chest pain, fever, or cough. On examination, she is noted to have an elevated heart rate and mild pallor. Which of the following should be included in the initial assessment?",Initial studies should include a CBC to assess for anemia as a cause of dyspnea.,"['Sputum culture', 'CT angiography of the chest', 'Arterial blood gas', 'Pulmonary function testing', 'Initial studies should include a CBC to assess for anemia as a cause of dyspnea.']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> Anemia",dyspnea
A 54-year-old male presents to the clinic complaining of shortness of breath that has been worsening over the past few months. He has a history of smoking and occasional wheezing. What is the MOST appropriate next step in evaluating the cause of his dyspnea?,The first study in the evaluation of dyspnea is often a chest x-ray (CXR).,"['Pulmonary function testing (PFT)', 'Detailed patient history', 'Arterial blood gas (ABG)', 'Chest CT scan', 'The first study in the evaluation of dyspnea is often a chest x-ray (CXR).']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> Medications",dyspnea
A 58-year-old male with a history of diabetes presents to the emergency department complaining of dyspnea. He reports rapid and deep breaths. Which of the following should be part of the initial workup to determine the cause of his dyspnea?,Check CBC to assess for anemia and perform a chest X-ray.,"['Perform pulmonary function testing', 'Order an ECG', 'Check CBC to assess for anemia and perform a chest X-ray.', 'Order an echocardiogram', 'Administer a bronchodilator']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> DKA",dyspnea
"A 58-year-old male presents to the clinic complaining of shortness of breath that has been worsening over the past few months. He denies chest pain, fever, or cough. Physical examination reveals decreased breath sounds bilaterally and mild clubbing of the fingers. What is the MOST appropriate next step in the evaluation of his dyspnea?",Obtain a chest x-ray and complete blood count.,"['Perform pulmonary function testing.', 'Order a CT scan of the chest.', 'Obtain a chest x-ray and complete blood count.', 'Perform a cardiopulmonary exercise test.', 'Order an electrocardiogram.']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> Normal -> Consider cardiopulmonary exercise test",dyspnea
"A 54-year-old woman presents to her primary care physician complaining of shortness of breath that has been worsening over the past few months. She has no significant past medical history and denies any smoking or occupational exposures. On physical examination, her lungs are clear to auscultation, and her cardiac exam is normal. A chest x-ray comes back normal. What is the MOST appropriate next step in evaluating her dyspnea?",Consider cardiopulmonary exercise test,"['Obtain a high-resolution CT scan of the chest', 'Prescribe a short course of oral corticosteroids', 'Initiate empiric treatment for asthma', 'Order pulmonary function testing (PFT)', 'Consider cardiopulmonary exercise test']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include ... psychological causes of dyspnea such as anxiety, panic attacks, or depression. -> Normal -> Consider cardiopulmonary exercise test",dyspnea
"A 43-year-old woman presents to the clinic complaining of shortness of breath, especially during periods of stress. Her physical exam is unremarkable, and her initial chest X-ray comes back normal. What is the MOST likely next step in evaluating the cause of her dyspnea, considering potential non-pulmonary and psychological factors?","Consider psychological disorders such as anxiety, panic attacks, or depression as a possible cause.","['Order a chest CT scan to rule out subtle lung abnormalities.', 'Prescribe a short course of bronchodilators to see if her symptoms improve.', 'Perform pulmonary function testing (PFT) to assess for underlying lung disease.', 'Refer her to a cardiologist to evaluate for cardiac causes of dyspnea.', 'Consider psychological disorders such as anxiety, panic attacks, or depression as a possible cause.']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include ... psychological causes of dyspnea such as anxiety, panic attacks, or depression. -> Anxiety",dyspnea
"A 45-year-old woman presents to her primary care physician complaining of shortness of breath, especially during periods of stress at work. She denies any cough, chest pain, or fever. Physical examination, including lung auscultation, is unremarkable. A chest X-ray comes back normal. What is the MOST likely underlying cause of her dyspnea?",Depression,"['COPD', 'CHF', 'Anemia', 'Asthma', 'Depression']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include ... psychological causes of dyspnea such as anxiety, panic attacks, or depression. -> Depression",dyspnea
"A 58-year-old male presents to the clinic complaining of dyspnea for the past 6 months. His chest X-ray is unremarkable. According to the stepwise approach, what should be the next step in evaluating his dyspnea?",Pulmonary function testing (PFT),"['Repeat chest X-ray', 'Administer a bronchodilator and reassess', 'Pulmonary function testing (PFT)', 'Prescribe empiric antibiotics', 'Refer for immediate cardiac catheterization']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> In a patient with presumed pulmonary disease and normal CXR, the next step is often pulmonary function testing (PFT). -> Initial spirometry can guide further studies, diagnose obstruction (FEV1/FVC <70%), and suggest restrictive physiology. Lung volumes will diagnose restriction, and additional PFT can help distinguish between interstitial lung disease, neuromuscular weakness, and results in disorders of the chest wall. -> Restrictive -> Parenchymal disease",dyspnea
"A 54-year-old woman presents to her primary care physician complaining of dyspnea for the past 6 months. Her chest X-ray is normal. According to the stepwise approach for evaluating dyspnea, what is the next most appropriate step in management?",Pulmonary function testing (PFT).,"['Repeat chest X-ray in 3 months', 'Prescribe an inhaled corticosteroid', 'Pulmonary function testing (PFT).', 'Start a trial of antibiotics', 'Refer to a cardiologist for echocardiography']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> In a patient with presumed pulmonary disease and normal CXR, the next step is often pulmonary function testing (PFT). -> Initial spirometry can guide further studies, diagnose obstruction (FEV1/FVC <70%), and suggest restrictive physiology. Lung volumes will diagnose restriction, and additional PFT can help distinguish between interstitial lung disease, neuromuscular weakness, and results in disorders of the chest wall. -> Restrictive -> Neuromuscular disease",dyspnea
"A 54-year-old male presents to the clinic with complaints of dyspnea on exertion for the past 6 months. His initial chest X-ray is normal, but his physician suspects a pulmonary cause. What is the MOST appropriate next step in evaluating this patient's dyspnea?",Pulmonary function testing (PFT),"['Cardiac stress test', 'Pulmonary function testing (PFT)', 'High-resolution CT scan of the chest', 'Ventilation/perfusion scan', 'Bronchoscopy']",B,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> In a patient with presumed pulmonary disease and normal CXR, the next step is often pulmonary function testing (PFT). -> Initial spirometry can guide further studies, diagnose obstruction (FEV1/FVC <70%), and suggest restrictive physiology. Lung volumes will diagnose restriction, and additional PFT can help distinguish between interstitial lung disease, neuromuscular weakness, and results in disorders of the chest wall. -> Restrictive -> Chest wall deformity",dyspnea
"A 54-year-old male presents to the clinic complaining of shortness of breath that has been worsening over the past 6 months. He has a history of smoking one pack of cigarettes per day for 30 years. Physical examination reveals decreased breath sounds bilaterally with a prolonged expiratory phase. His chest X-ray comes back normal. According to the reasoning provided, what would be the next appropriate step in evaluating this patient's dyspnea?",Pulmonary function testing (PFT),"['Echocardiography', 'Pulmonary function testing (PFT)', 'CT scan of the chest', 'Bronchoscopy', 'Arterial blood gas (ABG)']",B,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> In a patient with presumed pulmonary disease and normal CXR, the next step is often pulmonary function testing (PFT). -> Initial spirometry can guide further studies, diagnose obstruction (FEV1/FVC <70%), and suggest restrictive physiology. Lung volumes will diagnose restriction, and additional PFT can help distinguish between interstitial lung disease, neuromuscular weakness, and results in disorders of the chest wall. -> Obstructive -> Asthma",dyspnea
A 58-year-old male presents to the clinic complaining of dyspnea for the past 6 months. His chest X-ray is unremarkable. What is the MOST appropriate next step in the evaluation of his dyspnea?,Pulmonary function testing (PFT).,"['Repeat chest X-ray in 3 months.', 'Administer a trial of inhaled corticosteroids.', 'Pulmonary function testing (PFT).', 'Prescribe a short course of oral antibiotics.', 'Order a high-resolution CT scan of the chest.']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> In a patient with presumed pulmonary disease and normal CXR, the next step is often pulmonary function testing (PFT). -> Initial spirometry can guide further studies, diagnose obstruction (FEV1/FVC <70%), and suggest restrictive physiology. Lung volumes will diagnose restriction, and additional PFT can help distinguish between interstitial lung disease, neuromuscular weakness, and results in disorders of the chest wall. -> Obstructive -> COPD",dyspnea
A 58-year-old male presents to the clinic complaining of dyspnea for the past 6 months. His chest X-ray is unremarkable. What is the MOST appropriate next step in evaluating his dyspnea?,Pulmonary function testing,"['Echocardiography', 'Cardiopulmonary exercise testing', 'Pulmonary function testing', 'Ventilation/perfusion scan', 'High-resolution CT scan']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> In a patient with presumed pulmonary disease and normal CXR, the next step is often pulmonary function testing (PFT). -> Initial spirometry can guide further studies, diagnose obstruction (FEV1/FVC <70%), and suggest restrictive physiology. Lung volumes will diagnose restriction, and additional PFT can help distinguish between interstitial lung disease, neuromuscular weakness, and results in disorders of the chest wall. -> Obstructive -> Bronchiectasis",dyspnea
A 58-year-old male presents to the emergency department complaining of increasing shortness of breath over the past 3 months. The patient has a 40-pack-year smoking history. Physical examination reveals decreased breath sounds bilaterally and an increased anterior-posterior chest diameter. Initial chest X-ray reveals hyperinflation and flattened diaphragms. What would be the MOST appropriate next step in the evaluation of this patient's dyspnea?,Obtain a chest CT scan to further evaluate for emphysema and other structural abnormalities.,"['Perform pulmonary function testing to assess for airflow obstruction', 'Prescribe a course of oral corticosteroids to reduce airway inflammation', 'Initiate empiric antibiotic therapy for possible bronchitis', 'Order an electrocardiogram to rule out cardiac causes of dyspnea', 'Obtain a chest CT scan to further evaluate for emphysema and other structural abnormalities.']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> An abnormal CXR usually prompts further radiograph studies, specifically a chest CT scan. -> A CT scan can reveal interstitial fibrosis, emphysema, pleural effusions, mass lesions, and pulmonary emboli. -> Emphysema",dyspnea
"A 58-year-old male presents to the emergency department complaining of dyspnea. His initial chest X-ray reveals a mass lesion in the right lung. According to the standard diagnostic approach for dyspnea, what is the MOST appropriate next step in evaluating this patient?",Obtain a chest CT scan to further evaluate the mass lesion and other potential pulmonary abnormalities.,"['Perform pulmonary function testing to assess lung volumes and capacities.', 'Order an ECG to rule out cardiac causes of dyspnea.', 'Prescribe a course of broad-spectrum antibiotics to cover potential infections.', 'Initiate a trial of bronchodilators to assess for reversibility of airflow obstruction.', 'Obtain a chest CT scan to further evaluate the mass lesion and other potential pulmonary abnormalities.']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> An abnormal CXR usually prompts further radiograph studies, specifically a chest CT scan. -> A CT scan can reveal interstitial fibrosis, emphysema, pleural effusions, mass lesions, and pulmonary emboli. -> Mass lesion",dyspnea
"A 58-year-old male presents to the emergency department complaining of dyspnea. His initial chest X-ray reveals a possible pleural effusion. According to the standard diagnostic approach for dyspnea, what would be the MOST appropriate next step in evaluating this patient?",Obtain a chest CT scan.,"['Perform pulmonary function testing.', 'Order an ECG to rule out cardiac causes.', 'Prescribe a course of antibiotics for possible pneumonia.', 'Obtain a chest CT scan.', 'Initiate a trial of bronchodilators to assess for reversibility.']",D,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> An abnormal CXR usually prompts further radiograph studies, specifically a chest CT scan. -> A CT scan can reveal interstitial fibrosis, emphysema, pleural effusions, mass lesions, and pulmonary emboli. -> Pleural effusion",dyspnea
A 58-year-old male presents to the emergency department complaining of shortness of breath that has progressively worsened over the past three months. He has a history of smoking one pack of cigarettes per day for 35 years. Physical examination reveals decreased breath sounds in the right lower lobe. A chest X-ray is performed and shows a suspicious opacity in the same region. What is the most appropriate next step in the evaluation of this patient's dyspnea?,Obtain a chest CT scan.,"['Order pulmonary function tests.', 'Prescribe a course of antibiotics.', 'Obtain a chest CT scan.', 'Perform bronchoscopy with biopsy.', 'Start the patient on inhaled corticosteroids.']",C,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> An abnormal CXR usually prompts further radiograph studies, specifically a chest CT scan. -> A CT scan can reveal interstitial fibrosis, emphysema, pleural effusions, mass lesions, and pulmonary emboli. -> Pulmonary vascular disease",dyspnea
"A 58-year-old male presents to the clinic with a chief complaint of increasing dyspnea over the past 6 months. He has a history of smoking one pack of cigarettes per day for 30 years. Physical examination reveals decreased breath sounds bilaterally and mild clubbing of the fingers. A chest X-ray reveals some abnormalities. According to the text, what would be the next step in the evaluation of his dyspnea?",Chest CT scan,"['Pulmonary function testing', 'Echocardiography', 'Cardiopulmonary exercise testing', 'CBC to assess for anemia', 'Chest CT scan']",E,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> An abnormal CXR usually prompts further radiograph studies, specifically a chest CT scan. -> A CT scan can reveal interstitial fibrosis, emphysema, pleural effusions, mass lesions, and pulmonary emboli. -> Interstitial lung disease",dyspnea
A 45-year-old male with a BMI of 35 presents to your office complaining of recent weight gain despite adhering to a diet. He reports a history of successful weight loss with a prescribed diet in the past but recently quit smoking. Which of the following is the MOST appropriate next step in evaluating his obesity?,Order laboratory tests to rule out endocrine causes of obesity.,"['Prescribe an appetite suppressant medication.', 'Refer the patient for bariatric surgery evaluation.', 'Obtain a detailed dietary history and assess caloric expenditure.', 'Recommend a consultation with a registered dietitian.', 'Order laboratory tests to rule out endocrine causes of obesity.']",E,"Root node representing a patient with obesity -> Gather patient history including rate of weight gain, dietary history, caloric expenditure, prescribed diet for successful weight loss, recently quit smoking, endocrine features (cold, constipation, hair change, virilization, striae, buffalo hump) -> Tests to rule out endocrine causes",obesity
